year,temp,tempmax,yearmax,tempmin,yearmin
1950,16.4,17.7,2017,14.5,1972
1951,15.3
1952,15.7
1953,16.5
1954,16
1955,16.9
1956,15
1957,16
1958,16.3
1959,16.1
1960,16
1961,17.2
1962,16.2
1963,15.8
1964,16.6
1965,15.8
1966,16.1
1967,15.6
1968,16.1
1969,15.3
1970,16.2
1971,15.3
1972,14.5
1973,15.7
1974,16
1975,15.5
1976,15.8
1977,15.6
1978,16.1
1979,16.2
1980,16.3
1981,17.1
1982,16.4
1983,15.9
1984,15.1
1985,16.1
1986,15.7
1987,16.6
1988,16
1989,17.3
1990,16.8
1991,16.2
1992,16
1993,15
1994,16.4
1995,17.4
1996,16
1997,16.9
1998,16.6
1999,16.2
2000,16.1
2001,16.3
2002,16.5
2003,16.6
2004,16.3
2005,16.5
2006,17
2007,15.8
2008,16
2009,17.1
2010,16.4
2011,17
2012,16.2
2013,16.1
2014,16.7
2015,17.1
2016,16.7
2017,17.7
2018,16.3
2019,16.9
