year,temp
1950,11.2
1951,9.9
1952,10.3
1953,10.7
1954,9.9
1955,11
1956,9.1
1957,10.2
1958,10.6
1959,10.4
1960,10.2
1961,11.5
1962,10.7
1963,9.7
1964,10.9
1965,10.4
1966,10.7
1967,10.5
1968,10.6
1969,9.6
1970,10.5
1971,9.9
1972,9.2
1973,10.2
1974,9.8
1975,10
1976,10.3
1977,9.9
1978,10.2
1979,10.4
1980,10.2
1981,11
1982,11
1983,11.7
1984,10
1985,10.5
1986,10.1
1987,10.9
1988,10.6
1989,11.4
1990,11.4
1991,10.4
1992,10.7
1993,10.1
1994,11.5
1995,11.6
1996,10.8
1997,11.8
1998,11.4
1999,11.1
2000,11.3
2001,11.3
2002,11.3
2003,11.8
2004,11
2005,11.1
2006,11.9
2007,10.8
2008,10.6
2009,11.7
2010,10.4
2011,
2012,11
2013,10.4
2014,11.7
2015,11.8
2016,11.3
2017,12.3
