fecha,maxima
1957-08-01,35.3
1958-07-30,36.5
1985-08-04,35.2
1987-08-12,36.8
1988-09-07,35.4
1989-07-19,35.4
1991-08-05,35
1993-07-28,36.8
1993-08-19,35
1993-08-20,35
1995-07-19,35.6
1995-07-20,35.6
1995-07-21,36.6
1995-07-23,35.2
1995-07-24,37.6
2000-07-31,35.4
2003-08-01,36
2003-08-02,36.2
2003-08-03,35.6
2003-08-05,35.6
2003-08-07,35
2003-08-12,35.8
2003-08-13,35.6
2004-07-24,35.4
2005-07-21,35.2
2005-08-06,35
2005-08-07,37.4
2007-08-04,36.4
2008-08-04,35
2009-07-26,35.2
2012-06-26,35.6
2012-08-09,36.1
2012-08-10,36.5
2015-06-29,35.2
2015-07-13,35.4
2015-07-14,35.7
2015-07-15,35.2
2016-09-06,36
2017-06-14,35.3
2017-06-17,35
2017-06-18,35.2
2017-07-13,36.9
2018-08-02,36.2
2018-08-03,35.6
2018-08-06,36
2019-06-28,35.9
2019-06-29,36.9
2019-07-12,36.2
2020-07-07,35.6
2020-07-27,35.4
2020-07-31,35.5
2021-07-11,37.5
2021-08-11,36.1
2021-08-12,35.4
2021-08-13,37.9
2021-08-14,38.8
2021-08-15,37.1
2022-06-14,35.4
2022-06-15,35.2
2022-06-17,35.3
2022-07-12,35.6
2022-07-13,36.4
2022-07-14,37.6
2022-07-15,36.7
2022-07-16,36.4
2022-07-17,36.1
2022-07-24,35.8
2022-08-01,35.4
2022-08-02,35.9
