fecha,maxima
1950-06-26,36.6
1950-06-27,37.4
1950-06-28,39.6
1950-06-29,39
1950-06-30,36.2
1950-07-01,35.4
1950-07-08,36.4
1950-07-11,36.4
1950-07-12,35.6
1950-07-18,37.8
1950-07-19,39.4
1950-07-20,38
1950-07-24,37.2
1950-07-25,37.2
1950-07-26,39
1950-07-27,38.2
1950-07-28,36.6
1950-07-29,35.6
1950-07-30,37.4
1950-07-31,37.2
1950-08-04,35
1950-08-11,35
1950-08-12,35.2
1950-08-13,36.6
1950-08-14,37.2
1950-08-15,36.6
1950-09-08,36
1950-09-09,37
1951-06-14,37.2
1951-06-15,36.8
1951-06-28,35.6
1951-06-29,35.4
1951-07-25,35.2
1951-07-26,35.2
1951-07-27,40
1951-07-28,36
1951-08-12,35.2
1951-08-17,35.2
1951-08-18,37.4
1951-08-23,35.2
1951-09-04,36.2
1952-07-09,36.2
1952-07-10,39.2
1952-07-11,40.4
1952-07-12,37.4
1952-07-13,35.8
1952-08-12,35.6
1952-08-13,36
1953-05-24,36.6
1953-05-25,36.2
1953-07-07,35.4
1953-07-08,35.8
1953-07-19,35.4
1953-07-20,37.6
1953-07-21,37.4
1953-07-24,35
1953-07-25,35.4
1953-07-30,35.4
1953-07-31,37.8
1953-08-01,37.6
1953-08-02,36.4
1953-08-07,37
1953-08-08,38
1953-08-09,36
1953-08-10,35
1953-08-17,35
1953-08-19,36
1953-08-23,36
1953-08-28,35.4
1953-08-29,36.8
1953-08-30,36
1953-08-31,36.4
1953-09-01,35.2
1953-09-02,35.2
1953-09-03,36.4
1953-09-04,37
1953-09-05,36.4
1953-09-06,35.8
1954-06-18,35.8
1954-06-19,35.2
1954-06-24,35.8
1954-06-25,37.2
1954-06-26,38.6
1954-07-15,36.8
1954-07-16,37.2
1954-07-17,37.6
1954-07-18,38
1954-07-19,38.2
1954-07-20,38
1954-07-21,37.4
1954-07-22,37
1954-07-23,37.2
1954-07-24,39.2
1954-07-25,39.8
1954-07-26,39.8
