fecha,maxima
1972-08-10,35.2
1974-08-17,35
1975-07-16,36.4
1975-07-17,36.6
1975-08-01,37
1975-08-02,35
1975-08-03,37.2
1975-08-04,35.4
1975-08-05,35.2
1975-08-06,37
1975-08-14,35
1975-08-15,36.2
1975-08-21,35.2
1976-08-08,35
1977-08-16,36
1978-07-26,35
1978-08-06,35.6
1979-06-27,35
1979-07-11,36.2
1979-07-29,37.4
1979-08-05,35.4
1980-08-01,35.4
1980-08-02,35.2
1981-07-31,38
1981-08-04,36.2
1981-08-06,37.6
1982-07-02,35.6
1982-07-03,36.6
1982-07-05,37
1982-07-06,37.4
1982-07-07,37.6
1982-07-08,37.8
1982-07-11,36.4
1982-08-15,35.4
1983-06-05,35
1983-07-18,36.6
1983-07-20,39.2
1983-07-21,37.4
1983-07-22,36
1983-07-25,35.6
1983-07-29,37
1983-07-30,40.6
1983-07-31,39.8
1984-07-08,35.4
1984-07-09,35
1984-07-21,36.4
1984-07-22,36.2
1984-07-24,36.2
1984-07-28,35
1985-07-02,36.4
1985-07-08,35
1985-07-15,36.4
1985-07-16,35.4
1985-07-26,36
1985-08-05,36
1986-06-26,36.6
1986-06-27,37.6
1986-06-28,36.6
1986-07-23,35
1986-08-03,36
1986-08-22,35.4
1987-07-13,35
1987-07-14,35.4
1987-08-11,35.8
1987-08-12,36.2
1987-08-13,37.2
1987-08-14,39.4
1987-08-15,37
1987-08-17,36
1987-09-16,35.4
1987-09-17,35.6
1987-09-19,35.6
1987-09-21,35
1988-07-19,37.5
1988-07-26,35.2
1988-07-29,35.4
1988-08-02,37.5
1988-08-11,35.2
1989-07-22,39.5
1989-07-23,36
1989-08-23,35.6
1991-07-20,35.2
1991-07-21,36.4
1991-07-22,36.2
1991-08-07,36
1991-08-22,35.2
1991-08-24,38.2
1991-08-28,35.6
1992-07-20,35.2
1992-08-03,35.6
1992-08-04,35
1992-08-08,36
1992-08-26,35.6
1993-07-04,35.4
1993-07-16,37
1993-07-17,37.8
1993-08-05,36.6
1993-08-06,36.8
1993-08-07,38.4
1994-06-01,36
1994-07-02,37.8
1994-07-03,38.6
1994-07-05,35.2
1994-07-16,39.2
1994-07-17,38.2
1994-07-18,35
1994-07-29,35
1994-08-08,35.2
1994-08-12,35
1994-08-16,36.4
1994-08-21,35.4
1994-08-22,38.2
1995-07-16,35
1995-07-22,35
1995-08-02,35.4
1995-08-11,36.6
1996-07-23,35.6
1996-07-24,38
1996-07-25,39.6
1997-08-09,36.3
1998-07-19,38.2
1998-07-20,36
1998-07-25,35
1998-07-26,35
1998-08-09,35.4
1998-08-10,35.1
1998-08-13,35
1998-09-01,36.5
1999-08-24,37.9
1999-08-25,40.2
2000-07-02,35
2000-07-06,36.4
2000-07-22,35.6
2000-08-17,36.6
2000-08-18,35
2000-08-24,36
2000-08-25,37.1
2001-06-15,36.3
2001-06-23,35
2001-06-24,38
2001-06-25,41.4
2001-07-13,37.6
2001-07-29,35
2001-07-31,37.6
2001-08-01,39.8
2001-08-02,37
2001-08-15,36.4
2001-08-26,35
2001-08-27,36.5
2002-06-18,35.5
2002-06-21,35
2002-06-23,35
2002-06-27,35.3
2003-06-12,35.4
2003-06-13,36.3
2003-06-16,35
2003-06-22,37.5
2003-06-23,39.5
2003-06-24,37.6
2003-06-25,37.6
2003-07-12,36.5
2003-07-13,37.5
2003-07-20,39.9
2003-07-21,39.8
2003-07-24,35.2
2003-08-03,35.6
2003-08-05,35.6
2003-08-06,35.7
2003-08-07,36.4
2003-08-08,37
2003-08-09,37.4
2003-08-10,37.3
2003-08-12,37.6
2003-08-13,38.4
2003-08-14,35.5
2003-08-18,36.8
2003-08-21,36.6
2003-08-22,35
2003-08-23,37
2003-08-24,35.6
2004-07-05,36.6
2004-07-06,35.2
2004-07-24,35.3
2004-08-07,35
2004-09-04,38.2
2004-09-05,36.6
2005-06-27,35
2005-06-28,37.3
2005-07-14,35.6
2005-07-15,36.5
2005-07-16,36.4
2005-08-09,35.3
