fecha,maxima
1951-06-12,37.5
1951-06-13,40
1951-06-14,41.2
1951-06-15,39.4
1951-06-16,37.7
1951-06-20,37.3
1951-06-27,36
1951-06-28,37.5
1951-06-29,36.7
1951-07-02,36.6
1951-07-20,37.3
1951-07-21,37.7
1951-07-22,36
1951-07-23,37
1951-07-24,38.8
1951-07-25,37.2
1951-07-26,38.6
1951-07-27,43.2
1951-07-28,41
1951-08-04,36.5
1951-08-05,36.5
1951-08-11,36.5
1951-08-14,36.5
1951-08-16,37.5
1951-08-17,38.2
1951-08-18,37.8
1951-08-19,36.4
1951-08-20,36
1951-08-21,36.3
1951-08-22,37
1951-08-23,37.6
1951-08-24,36.4
1951-09-02,36.8
1951-09-03,39.4
1951-09-04,38.8
1951-09-16,36.5
1952-06-24,36.7
1952-07-09,39.4
1952-07-10,40.4
1952-07-11,41
1952-07-12,41.7
1952-07-13,39
1952-08-08,36.3
1952-08-12,40
1952-08-13,40.3
1952-08-16,36.4
1952-08-18,36.6
1952-09-03,36.6
1952-09-04,36
1953-05-23,37.3
1953-05-24,38.5
1953-05-25,36.8
1953-05-26,36.7
1953-05-28,36.5
1953-05-31,36.7
1953-06-01,36.2
1953-06-02,36.3
1953-06-24,36.2
1953-07-07,37
1953-07-08,38
1953-07-09,37.6
1953-07-13,38.5
1953-07-14,36.6
1953-07-15,36.2
1953-07-16,36.2
1953-07-18,36.5
1953-07-19,39.8
1953-07-20,40
1953-07-21,40
1953-07-22,39.6
1953-07-23,37.4
1953-07-24,38.6
1953-07-25,40.2
1953-07-26,40.2
1953-07-27,37.4
1953-07-30,39.1
1953-07-31,39.4
1953-08-01,40.5
1953-08-03,37.2
1953-08-04,38.3
1953-08-06,37.3
1953-08-07,39.6
1953-08-08,38.8
1953-08-09,38.7
1953-08-11,38.4
1953-08-12,36.4
1953-08-13,36
1953-08-17,37
1953-08-18,38
1953-08-19,37.5
1953-08-20,38.8
1953-08-21,38
1953-08-22,37.3
1953-08-23,36.2
1953-08-24,37.6
1953-08-25,38.4
1953-08-26,37.8
1953-08-27,36.3
1953-08-28,36.8
1953-08-29,40.7
1953-08-30,40.2
1953-08-31,38.6
1953-09-01,36.6
1953-09-03,38.8
1953-09-04,39.5
1953-09-05,40.5
1953-09-06,39.2
1953-09-07,38.5
1954-05-29,36.2
1954-06-17,38.2
1954-06-18,38.7
1954-06-19,38.6
1954-06-24,36.7
1954-06-25,37.4
1954-06-26,37
1954-07-10,38.1
1954-07-11,39
1954-07-13,37.8
1954-07-14,38.8
1954-07-15,38.8
1954-07-16,39.7
1954-07-17,38.5
1954-07-18,36.6
1954-07-20,37.3
1954-07-21,37.5
1954-07-22,39.2
1954-07-23,42.2
1954-07-24,42.2
1954-07-25,42.3
1954-07-26,42
1954-07-27,39.8
1954-07-29,37.3
1954-08-01,39
1954-08-02,37.2
1954-08-04,38.2
1954-08-06,36
1954-08-07,37.5
1954-08-08,37.4
1954-08-10,36.2
1954-08-11,37.3
1954-08-12,37
1954-08-16,37.4
1954-08-17,40.5
1954-08-18,39
1954-08-19,38.6
1954-08-26,36
1954-08-30,36
1954-09-10,37.8
1954-09-11,36.8
1954-09-20,38.8
1954-09-21,38
1954-09-22,36.2
1954-09-26,36
1954-09-27,38
1954-09-28,38.2
1954-09-29,36.5
1955-06-14,36
1955-06-15,37
1955-06-21,36
1955-06-22,37
1955-06-23,37.8
1955-06-24,39
1955-06-25,40
1955-06-26,40
1955-06-27,37.8
1955-06-28,38.3
1955-06-29,38.8
1955-06-30,38.1
1955-07-01,39.2
1955-07-02,39.4
1955-07-03,38.9
1955-07-05,40.5
1955-07-06,39
1955-07-07,39.8
1955-07-08,37.9
1955-07-14,36.6
1955-07-15,38.5
1955-07-16,36.6
1955-07-21,36.6
1955-07-22,37.6
1955-07-23,36.6
1955-08-06,39.5
1955-08-07,39.4
1955-08-08,39.5
1955-08-09,36.3
1955-08-10,38.5
1955-08-11,39.6
1955-08-15,38
1955-08-16,38.6
1955-08-17,39.3
1955-08-18,38.8
1955-08-19,40.6
1955-08-20,41.3
1955-08-21,40.2
1955-08-22,39.4
1955-08-23,38.3
1955-08-24,36
1955-08-29,36.6
1955-08-30,37.6
1955-08-31,40.2
1955-09-01,37.4
1955-09-10,36.2
1955-09-11,37
1955-09-12,37
1955-09-13,36
1955-09-14,36.4
1955-09-15,36
1955-10-13,36
1956-06-17,37.5
1956-06-21,37.5
1956-06-28,36
1956-07-03,37
1956-07-04,38.3
1956-07-05,39.8
1956-07-06,38.4
1956-07-07,38.4
1956-07-08,37.5
1956-07-09,37.5
1956-07-10,37
1956-07-11,36
1956-07-24,36
1956-07-25,37.9
1956-07-26,36.7
1956-07-27,36.5
1956-08-01,39
1956-08-02,40.4
1956-08-03,40.5
1956-08-04,38.7
1956-08-12,36.4
1956-08-13,36.8
1956-08-15,36.6
1956-08-24,36.5
1956-08-25,36
1956-09-12,37
1957-06-26,37.5
1957-06-27,38.7
1957-06-28,39.6
1957-06-29,37
1957-07-01,36.5
1957-07-09,36.7
1957-07-10,40.7
1957-07-11,38.2
1957-07-12,38
1957-07-13,38.8
1957-07-14,39
1957-07-15,37
1957-07-16,37.3
1957-07-17,39.1
1957-07-18,38.4
1957-07-20,37.8
1957-07-21,40.2
1957-07-22,36.3
1957-07-23,37
1957-07-24,37.5
1957-07-25,39
1957-07-26,39.5
1957-07-27,40.2
1957-07-28,40.5
1957-07-29,39.3
1957-07-30,38
1957-07-31,37.6
1957-08-01,42.6
1957-08-02,42.6
1957-08-03,40
1957-08-04,38.4
1957-08-05,39.6
1957-08-06,39.5
1957-08-07,36.6
1957-08-14,36
1957-08-15,37.5
1957-08-16,37.4
1957-08-17,37.2
1957-08-18,36
1957-08-19,37.5
1957-08-20,37.6
1957-08-21,37.8
1957-08-30,36
1957-09-02,36
1957-09-03,38
1957-09-04,39.2
1957-09-05,37
1957-09-06,37.5
1957-09-07,38.4
1957-09-12,36.5
1958-05-10,37.2
1958-07-08,36.5
1958-07-09,37
1958-07-10,37.9
1958-07-17,36
1958-07-18,36.5
1958-07-19,37
1958-07-20,37.9
1958-07-24,39
1958-07-25,37.5
1958-07-26,36.6
1958-07-27,39.6
1958-07-28,40.5
1958-07-29,41.6
1958-07-30,44.3
1958-07-31,43.7
1958-08-01,40.3
1958-08-03,38
1958-08-04,39.2
1958-08-05,39.5
1958-08-06,37.4
1958-08-07,36.7
1958-08-08,36.9
1958-08-10,37.2
1958-08-11,37.5
1958-08-12,36.5
1958-08-13,37.6
1958-08-14,37.6
1958-08-15,39.5
1958-08-16,41.2
1958-08-17,39.2
1958-08-25,36
1958-08-26,36.2
1959-06-10,36.4
1959-06-11,36.7
1959-06-22,36.4
1959-06-23,36.3
1959-06-27,37
1959-06-28,38.2
1959-06-30,37
1959-07-01,36.2
1959-07-02,37.5
1959-07-03,39.4
1959-07-04,40.8
1959-07-05,41
1959-07-06,42.6
1959-07-07,43.1
1959-07-10,36.8
1959-07-11,36.4
1959-07-12,37.5
1959-07-16,36
1959-07-17,38
1959-07-19,37.5
1959-07-20,40.5
1959-07-26,39.6
1959-07-27,40
1959-07-28,37.2
1959-07-29,38.4
1959-08-01,37.2
1959-08-02,38.2
1959-08-03,37
1959-08-04,37
1959-08-12,36.5
1959-08-13,38
1959-08-14,38.2
1959-08-15,39.3
1959-08-16,41.1
1959-08-17,41.8
1959-08-18,42.2
1959-08-19,39
1959-08-20,37.4
1959-08-21,36.2
1959-08-22,37.5
1959-08-23,38.3
1959-08-24,36
1959-08-26,37.2
1959-08-27,36.5
1959-09-07,36.2
1959-09-08,36.2
1960-05-25,37.4
1960-05-26,36.6
1960-05-27,36
1960-06-17,36
1960-06-18,36.8
1960-06-19,37
1960-06-20,39
1960-06-21,40.8
1960-06-22,37.5
1960-06-24,37.1
1960-07-05,36.8
1960-07-06,37.6
1960-07-09,36.1
1960-07-10,36.4
1960-07-11,36.2
1960-07-12,37.6
1960-07-13,37.9
1960-07-14,37.6
1960-07-15,37.6
1960-07-16,37.7
1960-07-17,37.4
1960-07-18,38.8
1960-07-19,38.8
1960-07-20,36.2
1960-07-21,36.5
1960-07-22,37.8
1960-07-23,37.6
1960-07-24,40.5
1960-07-25,40.1
1960-07-26,38
1960-08-02,36.8
1960-08-14,36.4
1960-08-15,37.6
1960-08-20,37.5
1960-08-21,38.2
1960-08-22,37.4
1960-08-23,38.1
1960-08-24,38.3
1960-08-28,37.5
1960-08-29,39.6
1960-08-30,37
1960-09-08,37.5
1960-09-09,38.3
1960-09-10,37
1960-09-12,37.8
1960-09-13,38.2
1960-09-14,38.2
1961-05-09,36.3
1961-05-14,36.3
1961-05-15,36.2
1961-06-17,36.6
1961-06-28,36.4
1961-06-29,38.4
1961-07-06,37.2
1961-07-07,37.5
1961-07-08,39.4
1961-07-09,38.5
1961-07-10,39.2
1961-07-11,39.6
1961-07-14,36.5
1961-07-15,36.5
1961-07-16,36.2
1961-07-17,37.2
1961-07-18,38.5
1961-07-19,38
1961-07-20,39.3
1961-07-21,38.4
1961-07-25,36
1961-07-26,37.6
1961-07-27,37
1961-07-28,38.7
1961-07-29,36.2
1961-08-01,36.7
1961-08-02,36.7
1961-08-03,37.8
1961-08-04,38.6
1961-08-05,37.8
1961-08-06,37
1961-08-07,36.8
1961-08-14,36.5
1961-08-15,37
1961-08-16,39
1961-08-17,39.5
1961-08-18,36.6
1961-08-21,36.3
1961-08-22,37.7
1961-08-23,39.2
1961-08-24,39.2
1961-08-25,39.8
1961-08-26,40.5
1961-08-27,40.8
1961-08-28,40.6
1961-08-29,38.6
1961-08-30,37.5
1961-08-31,36.4
1961-09-14,36.6
1961-09-15,37.2
1962-06-19,37
