fecha,maxima
1954-08-06,38.9
1954-08-09,38.4
1956-07-29,39.1
1956-08-17,38.2
1956-08-25,38.6
1962-07-14,41
1966-08-04,39.5
1974-08-07,40
1985-07-09,38.6
1985-07-28,38.4
1986-07-06,41.8
1994-08-23,42.5
1998-06-10,38.2
1999-09-03,38.4
2000-07-07,40.3
2000-08-21,38
2001-08-29,39
2003-07-27,38.4
2004-08-03,38.8
2004-08-19,38.2
2007-06-25,38.2
2007-08-29,39
2008-08-12,38.5
2009-07-23,39.5
2010-08-23,40
2010-08-27,43
2012-08-15,38.2
2014-08-26,41.6
2015-05-14,42
2019-08-09,41.4
2021-07-04,38.8
2021-07-06,39
2021-07-12,39.6
2021-08-07,39
2022-08-13,38
