fecha,maxima
1961-08-27,41.6
1962-08-20,43.8
1962-08-27,41
1962-08-30,41.8
1962-09-12,41.6
1963-08-09,41.6
1964-08-03,41.4
1965-06-18,41.2
1965-06-19,44
1965-06-20,44
1965-06-21,43
1965-06-26,45
1965-06-27,43
1965-06-28,43
1965-07-11,41
1965-07-12,41
1965-08-05,43.6
1965-08-06,42
1966-07-11,41.6
1966-07-12,42.6
1966-08-13,41.6
1967-07-09,41.6
1967-07-19,44.4
1967-07-20,45.6
1967-07-21,42
1968-06-28,41.2
1968-06-29,42
1968-07-09,42.8
1968-07-25,41.6
1968-07-27,41.6
1970-07-25,41
1970-09-06,41.8
1971-07-30,41.2
1973-07-25,42
1973-07-26,42
1974-07-02,41
1974-07-29,41.2
1974-08-11,42
1974-08-15,42
1975-07-15,42.6
1975-07-16,43.6
1975-07-29,42
1975-07-30,43
1975-08-07,43
1976-08-04,41.6
1976-08-05,41.8
1976-08-06,42
1976-08-07,42.4
1976-08-08,42
1978-07-16,43.6
1978-07-17,45.4
1978-08-25,41.4
1979-07-10,41
1979-07-27,41.6
1979-07-28,42
1979-07-29,41.4
1980-07-21,41.2
1980-08-21,42.6
1980-08-30,41.2
1981-06-11,41
1981-06-12,41.4
1981-06-13,43.4
1981-06-14,43.6
1981-06-17,41
1981-07-29,42.8
1981-07-30,42.4
1988-07-12,41.2
1988-07-27,42
1988-07-28,41
1988-08-02,41.8
1988-09-06,42.8
1988-09-07,43.8
1988-09-08,43.8
1989-07-15,41.6
1989-07-17,42
1989-07-18,42.8
1989-07-19,42
1989-07-20,42.4
1989-07-21,43
1989-07-27,41.4
1989-07-30,41.2
1989-07-31,43
1989-08-01,44.4
1989-08-22,41.6
1989-08-23,41.2
1990-07-11,41
1990-07-19,42.4
1990-07-20,42.8
1990-07-21,42.4
1990-07-23,41
1990-07-24,43
1990-08-03,41
1990-08-04,41.2
1990-08-05,41.2
1991-07-12,41.7
1991-07-13,42.8
1991-07-14,44.4
1991-07-15,42
1991-07-17,44.4
1991-07-18,44.2
1991-08-03,41.6
1991-08-04,42.6
1991-08-05,44
1991-08-06,44.4
1991-08-13,41.2
1991-08-15,41
1991-08-16,42.6
1991-08-17,42.6
1991-08-20,44.4
1992-07-28,41.5
1992-07-29,41
1992-08-04,42.4
1992-08-05,41.8
1992-08-06,43
1992-08-07,41
1992-08-17,41.4
1992-08-18,42.8
1992-08-24,43.1
1993-07-18,41
1993-07-25,41.2
1993-07-28,42.6
1993-08-04,43.8
1993-08-05,42.7
1993-08-06,41
1994-06-29,41.6
1994-06-30,42.5
1994-07-04,44
1994-07-05,42.4
1994-07-06,41
1994-07-07,41.4
1994-07-10,41.2
1994-07-11,42.4
1994-07-15,41.8
1994-07-18,41.6
1994-07-19,43.8
1994-07-20,41.4
1994-08-18,42.4
1994-08-19,42.6
1994-08-20,43.4
1994-08-26,44.4
1994-08-27,41.7
1995-07-16,41.6
1995-07-17,41.6
1995-07-18,43.2
1995-07-19,44.2
1995-07-20,44.4
1995-07-21,45
1995-07-22,45.6
1995-07-23,46.6
1995-07-24,45.6
1995-07-27,41.2
1995-07-28,42
1995-07-29,41.4
1995-08-12,42.2
1995-08-13,42.4
1995-08-14,41.4
1996-07-19,41
1996-07-20,42.4
1996-07-22,41.4
1998-08-10,41.6
