year,temp
1950,7.8
1951,5.6
1952,6.5
1953,5.7
1954,5.9
1955,6.7
1956,1.9
1957,8.3
1958,9
1959,7.4
1960,7.1
1961,10.2
1962,7.5
1963,4.7
1964,8.1
1965,4.9
1966,8.6
1967,7
1968,7.2
1969,5.1
1970,7.1
1971,8.1
1972,7.1
1973,7
1974,6.6
1975,8.1
1976,7.9
1977,8
1978,8.2
1979,7.6
1980,8.2
1981,6.8
1982,8.1
1983,6.1
1984,6.8
1985,9.3
1986,5.9
1987,7.4
1988,7.6
1989,8.7
1990,10.9
1991,5.9
1992,7.5
1993,7.3
1994,7.1
1995,8.9
1996,6.4
1997,10.3
1998,9.9
1999,7.6
2000,10.8
2001,8.5
2002,9
2003,6.8
2004,8.1
2005,5.2
2006,6.7
2007,9.3
2008,9.3
2009,7.9
2010,6.4
2011,8.5
2012,6.2
2013,6.9
2014,7.3
2015,7
2016,8.4
2017,9.2
2018,6.3
