year,total
1950,0
1951,0
1952,1
1953,0
1954,8
1955,0
1956,7
1957,2
1958,0
1959,0
1960,1
1961,0
1962,1
1963,0
1964,0
1965,0
1966,0
1967,1
1968,0
1969,0
1970,1
1971,1
1972,0
1973,0
1974,0
1975,0
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,2
1986,2
1987,2
1988,1
1989,0
1990,0
1991,0
1992,6
1993,2
1994,5
1995,1
1996,1
1997,0
1998,3
1999,1
2000,0
2001,0
2002,0
2003,3
2004,2
2005,9
2006,0
2007,3
2008,0
2009,4
2010,0
2011,0
2012,9
2013,0
2014,0
2015,0
2016,0
2017,1
2018,2
2019,0
2020,0
2021,4
2022,0
,0
,0
,1
,0
,8
,0
,7
,2
,0
,0
,1
,0
,1
,0
,0
,0
,0
,1
,0
,0
,1
,1
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,2
,2
,2
,1
,0
,0
,0
,6
,2
,5
,1
,1
,0
,3
,1
,0
,0
,0
,3
,2
,9
,0
,3
,0
,4
,0
,0
,9
,0
,0
,0
,0
,1
,2
,0
,0
,4
,0
