fecha,min
1950-01-02,-1
1950-01-03,0
1950-01-05,-3
1950-01-10,-0.6
1950-01-11,0
1950-01-20,-0.4
1950-01-21,-2
1950-01-22,-0.2
1950-01-23,0
1950-01-24,-1
1950-01-25,-1
1950-01-26,-1.6
1950-01-27,-1.8
1950-01-28,0
1950-04-15,0
1950-04-16,0
1950-04-30,0
1950-12-04,-1.2
1950-12-05,-0.4
1950-12-06,-0.6
1950-12-27,-0.4
1950-12-29,-1
1950-12-30,-0.2
1951-02-05,-0.4
1951-02-09,-0.8
1951-02-10,-2
1951-02-11,-2
1951-02-12,-0.2
1951-02-15,-0.2
1951-02-25,-0.4
1951-02-26,0
1951-03-01,-0.6
1951-03-01,-0.6
1951-03-02,-1
1951-03-03,-0.4
1951-03-04,0
1951-03-06,-1
1951-03-07,-0.8
1951-03-10,-0.4
1951-03-29,-0.2
1951-03-30,-0.2
1951-03-31,-0.6
1951-04-03,-2
1951-04-04,-0.2
1951-04-12,-1.6
1951-04-13,-1.8
1951-05-01,0
1952-01-02,-0.4
1952-01-14,-0.2
1952-01-25,-2.6
1952-01-26,-2.2
1952-01-27,-1.8
1952-01-28,-3
1952-02-08,-4.2
1952-02-13,-0.6
1952-02-14,-0.6
1952-02-16,-0.2
1952-02-17,-0.2
1952-02-20,-1.2
1952-02-21,-0.6
1952-02-23,0
1952-02-24,-0.6
1952-02-26,-0.4
1952-04-04,0
1952-11-18,0
1952-11-19,-1
1952-12-25,-1.4
1952-12-28,-0.2
1952-12-29,-1.6
1953-01-09,0
1953-01-13,0
1953-01-28,0
1953-02-07,-0.4
1953-02-08,0
1953-02-12,0
1953-02-13,0
1953-02-17,0
1953-02-18,-2
1953-02-19,-1
1953-02-20,-1
1953-02-24,-1
1953-03-08,0
1953-03-14,0
1953-03-15,0
1953-04-05,0
1953-11-19,0
1954-01-02,0
1954-01-06,0
1954-01-12,-1
1954-01-21,-0.6
1954-01-22,-0.1
1954-01-24,-2.5
1954-01-26,-1
1954-01-27,-2
1954-01-31,-0.2
1954-02-01,-4
1954-02-02,-2
1954-02-03,-1.4
1954-02-04,-4
1954-02-05,-4.2
1954-02-06,-1.6
1954-02-07,-1
1954-02-18,-3.6
1954-12-10,0
1954-12-11,-1
1954-12-20,0
1955-01-03,0
1955-01-04,-1
1955-02-14,0
1955-02-19,0
1955-02-20,0
1955-03-07,-2.8
1955-03-08,-2
