fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2022-01-01,Enero,1,19.8,18.2,2022,2023
1987-01-02,Enero,2,16.0,16.0,1987,2022
2022-01-03,Enero,3,18.8,17.2,2022,1981
1960-01-04,Enero,4,16.4,15.8,1960,2016
1999-01-05,Enero,5,17.0,15.6,1999,2001
1999-01-06,Enero,6,17.0,16.8,1999,1976
1951-01-07,Enero,7,15.4,15.2,1951,1976
2014-01-08,Enero,8,17.3,15.8,2014,1976
2014-01-09,Enero,9,19.1,16.8,2014,2004
1971-01-10,Enero,10,18.0,17.0,1971,2022
2017-01-11,Enero,11,17.9,17.3,2017,2014
2017-01-12,Enero,12,17.0,16.8,2017,1997
1976-01-13,Enero,13,18.2,15.8,1976,2011
1968-01-14,Enero,14,17.0,15.6,1968,1989
1968-01-15,Enero,15,18.0,17.2,1968,1976
2024-01-16,Enero,16,16.8,16.6,2024,1981
1968-01-17,Enero,17,16.0,15.6,1968,2017
1988-01-18,Enero,18,15.6,15.6,1988,2005
1959-01-19,Enero,19,17.6,17.0,1959,2008
2008-01-20,Enero,20,19.4,18.6,2008,1981
1981-01-21,Enero,21,19.6,18.2,1981,2008
2008-01-22,Enero,22,18.4,17.0,2008,1981
1981-01-23,Enero,23,18.0,17.4,1981,2008
2024-01-24,Enero,24,19.2,18.9,2024,2016
1959-01-25,Enero,25,20.6,18.9,1959,2024
2024-01-26,Enero,26,20.5,18.0,2024,1981
2003-01-27,Enero,27,21.2,20.0,2003,2024
2003-01-28,Enero,28,18.8,17.6,2003,2024
1981-01-29,Enero,29,18.0,17.6,1981,1975
1953-01-30,Enero,30,16.8,16.6,1953,1982
1953-01-31,Enero,31,18.8,18.0,1953,1982
1953-02-01,Febrero,1,18.6,18.2,1953,1964
2022-02-02,Febrero,2,20.2,18.8,2022,1964
2004-02-03,Febrero,3,18.6,18.4,2004,1964
2004-02-04,Febrero,4,20.0,18.4,2004,1978
2004-02-05,Febrero,5,20.8,19.8,2004,1962
2004-02-06,Febrero,6,20.6,20.2,2004,1962
1981-02-07,Febrero,7,21.4,18.6,1981,2022
1981-02-08,Febrero,8,22.6,19.2,1981,2022
1974-02-09,Febrero,9,18.4,17.8,1974,1990
1961-02-10,Febrero,10,19.2,17.9,1961,2002
1961-02-11,Febrero,11,20.6,19.2,1961,2001
1961-02-12,Febrero,12,21.8,20.0,1961,2001
1961-02-13,Febrero,13,21.0,19.6,1961,2005
2024-02-14,Febrero,14,20.4,19.1,2024,2021
1958-02-15,Febrero,15,21.4,20.4,1958,1961
1958-02-16,Febrero,16,22.2,19.4,1958,2007
1958-02-17,Febrero,17,20.4,20.0,1958,1998
1978-02-18,Febrero,18,20.0,19.8,1978,1989
1989-02-19,Febrero,19,20.8,20.0,1989,1975
1950-02-20,Febrero,20,20.4,20.3,1950,2024
1997-02-21,Febrero,21,21.0,20.8,1997,1990
2020-02-22,Febrero,22,21.1,20.8,2020,2022
2020-02-23,Febrero,23,23.0,20.3,2020,2022
1990-02-24,Febrero,24,22.4,21.3,1990,2020
2011-02-25,Febrero,25,20.8,20.8,2011,2019
2011-02-26,Febrero,26,21.0,21.0,2011,2019
1960-02-27,Febrero,27,22.2,21.8,1960,1961
1960-02-28,Febrero,28,25.0,22.2,1960,1987
2012-02-29,Febrero,29,20.3,18.8,2012,2008
1987-03-01,Marzo,1,22.8,22.8,1987,1987
1987-03-02,Marzo,2,23.4,22.0,1987,1997
1987-03-03,Marzo,3,24.2,23.8,1987,1997
1987-03-04,Marzo,4,23.2,22.4,1987,1977
1987-03-05,Marzo,5,23.2,22.4,1987,1997
1997-03-06,Marzo,6,23.4,22.6,1997,1998
1997-03-07,Marzo,7,23.4,23.0,1997,1998
2015-03-08,Marzo,8,23.6,23.4,2015,2000
2017-03-09,Marzo,9,25.9,23.3,2017,2015
2017-03-10,Marzo,10,26.8,24.2,2017,2000
1981-03-11,Marzo,11,25.0,24.6,1981,2020
1961-03-12,Marzo,12,24.8,24.8,1961,2020
1961-03-13,Marzo,13,24.6,24.1,1961,2012
2012-03-14,Marzo,14,26.4,25.0,2012,1961
2009-03-15,Marzo,15,24.8,23.7,2009,2023
2009-03-16,Marzo,16,25.0,24.9,2009,2019
1997-03-17,Marzo,17,24.6,24.4,1997,2005
1961-03-18,Marzo,18,25.8,25.4,1961,1997
1997-03-19,Marzo,19,25.0,23.8,1997,1970
1997-03-20,Marzo,20,25.4,25.0,1997,1992
1992-03-21,Marzo,21,25.8,25.4,1992,1952
1952-03-22,Marzo,22,26.2,25.6,1952,2002
2002-03-23,Marzo,23,25.4,25.0,2002,1951
1955-03-24,Marzo,24,25.6,25.6,1955,2002
1988-03-25,Marzo,25,25.2,25.2,1988,1989
2009-03-26,Marzo,26,25.0,24.0,2009,1995
2009-03-27,Marzo,27,25.2,24.2,2009,1995
2023-03-28,Marzo,28,26.4,25.9,2023,2015
2023-03-29,Marzo,29,27.1,24.8,2023,1995
1976-03-30,Marzo,30,26.4,25.9,1976,2015
1980-03-31,Marzo,31,27.4,27.0,1980,1976
1980-04-01,Abril,1,26.4,25.4,1980,1997
1997-04-02,Abril,2,25.2,25.0,1997,1980
2008-04-03,Abril,3,26.9,26.0,2008,2015
1999-04-04,Abril,4,27.0,26.8,1999,2008
1999-04-05,Abril,5,27.8,27.0,1999,2011
1999-04-06,Abril,6,28.6,27.0,1999,1967
2011-04-07,Abril,7,28.4,27.6,2011,1995
2011-04-08,Abril,8,28.8,28.3,2011,2023
1995-04-09,Abril,9,29.8,29.0,1995,1950
