fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1981-12-01,Diciembre,1,19.2,18.7,1981,2011
1979-12-02,Diciembre,2,19,17.9,1979,2007
2006-12-03,Diciembre,3,20.2,18,2006,1994
2013-12-04,Diciembre,4,19.9,19.3,2013,2018
2006-12-05,Diciembre,5,22.5,19.8,2006,2007
2010-12-06,Diciembre,6,20.1,18.8,2010,2018
2010-12-07,Diciembre,7,22.5,18,2010,1976
1978-12-08,Diciembre,8,22,21.2,1978,2010
2007-12-09,Diciembre,9,20.6,18.9,2007,2009
1978-12-10,Diciembre,10,20.8,19.8,1978,2009
1994-12-11,Diciembre,11,21,19,1994,2000
2010-12-12,Diciembre,12,19.8,19.4,2010,1978
1998-12-13,Diciembre,13,20.2,19.1,1998,2003
1989-12-14,Diciembre,14,19.4,19,1989,2011
1989-12-15,Diciembre,15,22.4,19.7,1989,2012
1989-12-16,Diciembre,16,21.8,20.4,1989,2015
1985-12-17,Diciembre,17,19.2,19.2,1985,1987
2014-12-18,Diciembre,18,19.7,19.4,2014,1987
1987-12-19,Diciembre,19,20.6,18.6,1987,2018
1987-12-20,Diciembre,20,19.2,18.4,1987,1989
2019-12-21,Diciembre,21,20.1,19.8,2019,1989
2018-12-22,Diciembre,22,20.2,19.2,2018,2019
1983-12-23,Diciembre,23,20.2,20,1983,2012
1995-12-24,Diciembre,24,20,18.6,1995,1983
1995-12-25,Diciembre,25,20.4,19.7,1995,2019
1995-12-26,Diciembre,26,21.6,21.6,1995,1999
1983-12-27,Diciembre,27,19.4,18.4,1983,1999
2009-12-28,Diciembre,28,18.8,18.2,2009,2013
1990-12-29,Diciembre,29,19,18.9,1990,2015
2009-12-30,Diciembre,30,21,20.9,2009,2017
2018-12-31,Diciembre,31,20.7,20.3,2018,2017
1996-01-01,Enero,1,20.4,18.8,1996,1987
2003-01-02,Enero,2,23,18.6,2003,2001
2018-01-03,Enero,3,20.6,20.2,2018,2015
2018-01-04,Enero,4,22.2,19.3,2018,2015
2013-01-05,Enero,5,20.6,19.7,2013,2018
2019-01-06,Enero,6,21.8,20.8,2019,2008
1982-01-07,Enero,7,20.2,19.9,1982,2013
2016-01-08,Enero,8,23,20.7,2016,2011
2007-01-09,Enero,9,18.7,18.7,2007,2016
1991-01-10,Enero,10,21.8,21.1,1991,2015
1974-01-11,Enero,11,20.1,19.2,1974,2016
2015-01-12,Enero,12,19,18.8,2015,1974
2007-01-13,Enero,13,20.6,19.2,2007,2011
2011-01-14,Enero,14,18.6,18.4,2011,2004
1976-01-15,Enero,15,19,18.7,1976,2011
1976-01-16,Enero,16,19.6,18.9,1976,2018
2020-01-17,Enero,17,19.2,17.6,2020,1983
2008-01-18,Enero,18,19.6,19.2,2008,2000
2007-01-19,Enero,19,21.8,18.8,2007,1998
2007-01-20,Enero,20,20.9,19.6,2007,2005
2007-01-21,Enero,21,17.8,17.7,2007,2018
1985-01-22,Enero,22,19,18.4,1985,2018
2016-01-23,Enero,23,20.2,19.8,2016,1995
1980-01-24,Enero,24,20.8,20,1980,2001
1990-01-25,Enero,25,19.4,18.8,1990,1995
2002-01-26,Enero,26,20.8,20.2,2002,1977
2003-01-27,Enero,27,23.8,21.4,2003,1983
2008-01-28,Enero,28,21.9,20.6,2008,2002
2021-01-29,Enero,29,20.5,20.2,2021,1975
2013-01-30,Enero,30,19.8,18.2,2013,1995
2013-01-31,Enero,31,20.7,20,2013,2020
2016-02-01,Febrero,1,21.6,21,2016,2013
2020-02-02,Febrero,2,22.7,20.4,2020,1985
2020-02-03,Febrero,3,24.1,22.8,2020,2021
2017-02-04,Febrero,4,20.6,20.2,2017,1980
1995-02-05,Febrero,5,23,20.2,1995,1979
2011-02-06,Febrero,6,21.6,20.6,2011,2001
2017-02-07,Febrero,7,19.5,19.3,2017,2008
1984-02-08,Febrero,8,23.6,20.6,1984,1987
1977-02-09,Febrero,9,20.2,20,1977,1979
2020-02-10,Febrero,10,20.9,19.8,2020,1977
2007-02-11,Febrero,11,20.3,19.1,2007,2004
2002-02-12,Febrero,12,20.4,19.1,2002,2005
2016-02-13,Febrero,13,23.5,21.5,2016,2014
2014-02-14,Febrero,14,23.4,22.6,2014,2007
2007-02-15,Febrero,15,25.5,22.8,2007,2014
2007-02-16,Febrero,16,22.2,19.1,2007,2006
1995-02-17,Febrero,17,20.6,19,1995,1978
1989-02-18,Febrero,18,21.6,19.5,1989,2006
1989-02-19,Febrero,19,21.6,21.4,1989,1978
1989-02-20,Febrero,20,21.6,20.2,1989,1977
2016-02-21,Febrero,21,20.7,19.7,2016,2017
