fecha,maxima,minima
1995-01-01,23,11
1960-01-02,23,10
1960-01-03,22.4,10.2
2016-01-04,24.1,12.9
1967-01-05,22,10
2012-01-06,25.8,12.4
1958-01-07,22.2,11.2
2016-01-08,23.2,9.1
1982-01-09,24.6,9.2
2013-01-10,21.6,14
2015-01-11,23.6,6.7
1995-01-12,22.4,13.4
2004-01-13,22.8,8.2
2019-01-14,21.9,7
1986-01-15,21.6,10.2
2004-01-16,21,9.4
2020-01-17,21.8,6
2005-01-18,21.4,5.4
1951-01-19,22.4,16
1966-01-20,25,13
1981-01-21,26.8,11.4
1966-01-22,23,14
1966-01-23,22.6,16
2004-01-24,22.4,15
2019-01-25,23.5,13.5
2014-01-26,23.8,11.7
1995-01-27,22,9.2
1968-01-28,26,10.2
1999-01-29,24.2,14.2
1983-01-30,24.8,6.6
1983-01-31,25.6,9.2
1953-02-01,24.4,15
1953-02-02,22.6,12.8
2020-02-03,24,8.3
1961-02-04,23.8,9
1961-02-05,25,6.6
1961-02-06,29.4,6
1961-02-07,30,6
1984-02-08,23.8,15.2
1984-02-09,24.2,12.4
1966-02-10,23,9.6
2020-02-11,25.5,7.9
2016-02-12,23.8,12
2005-02-13,24.4,7.2
2002-02-14,24.6,8.2
1995-02-15,26.4,15.4
2000-02-16,25.4,8.6
2020-02-17,25.1,9.1
1978-02-18,23.6,9.4
1971-02-19,22.8,13.6
1964-02-20,21.6,10
1999-02-21,24,14
1999-02-22,25,13.6
1986-02-23,25,12.4
1986-02-24,25.6,8.8
1995-02-25,28.4,15.8
2011-02-26,26.8,8.5
2002-02-27,25.8,9
2007-02-28,25.2,10.2
2020-02-29,24.4,6.6
2000-03-01,26,7.4
1987-03-02,30.6,8
1987-03-03,29.4,19.4
1987-03-04,29.4,14.2
1964-03-05,25,11
2001-03-06,24,12.6
2017-03-07,27.9,13.7
1998-03-08,29.6,14
2020-03-09,26.4,14.1
2017-03-10,26.7,9.1
2017-03-11,27.9,12.7
1981-03-12,30.4,11.2
1990-03-13,25.4,15
1958-03-14,27.6,13.8
1958-03-15,28.6,18
1952-03-16,26.6,12
1957-03-17,29,8.4
1988-03-18,27.2,10.6
1997-03-19,28.4,9.8
1997-03-20,29.2,12.4
1982-03-21,27.4,17
2001-03-22,27.4,11
1952-03-23,31.2,14.4
1951-03-24,30,10
1965-03-25,28,13
1988-03-26,31.4,13
2015-03-27,25.4,14.7
2015-03-28,30.4,18.6
2015-03-29,31,19.2
2015-03-30,29.3,19.7
1959-03-31,27,14
1980-04-01,32.4,10
1980-04-02,29.4,16
1977-04-03,27.4,9.8
1993-04-04,26.4,13
2001-04-05,27,16.8
2001-04-06,28.2,15.4
2004-04-07,28.4,12
2014-04-08,27.8,11.5
2011-04-09,32,11.2
2011-04-10,30.2,18.8
1960-04-11,30.8,13
2014-04-12,29.7,13.8
2017-04-13,29.5,10.9
2017-04-14,30.5,17.5
2017-04-15,32.3,19.7
1975-04-16,30.2,17.6
1960-04-17,29.4,13.2
1985-04-18,30,8.4
1959-04-19,29.8,16.2
1980-04-20,27.8,9
1952-04-21,30,12.4
1979-04-22,29.2,10.4
2001-04-23,30,17.8
1970-04-24,29.4,11.6
2002-04-25,33,12.4
2014-04-26,29,15.9
2002-04-27,31,15.6
1965-04-28,28.8,13
2015-04-29,29.1,13
2020-04-30,27,15.4
2020-05-01,31,17.8
1967-05-02,30,13
1965-05-03,29.4,17
2015-05-04,31.6,18.8
2019-05-05,31.6,17.2
1960-05-06,32,15.6
1999-05-07,29.8,16.4
1953-05-08,34.6,13.6
1962-05-09,33.6,19
2013-05-10,31.6,18.9
2007-05-11,33,18
1955-05-12,33,15.4
1999-05-13,30.6,16.2
1999-05-14,35,23.8
1955-05-15,33.2,21
1961-05-16,33.8,16.5
1961-05-17,34.8,19
1995-05-18,35,16
1995-05-19,33.6,20.6
2020-05-20,32,15.8
1958-05-21,33,15
2008-05-22,31.9,19
1974-05-23,33.6,15
2003-05-24,33.6,15.4
2002-05-25,33.6,16.8
2009-05-26,31.6,18.6
1964-05-27,32,19
2000-05-28,32.8,18.2
2014-05-29,32.1,18.8
2014-05-30,33.4,21.7
1953-05-31,32.6,16
2003-06-01,33,17.6
1976-06-02,34,14.6
2001-06-03,38.4,19.6
1987-06-04,34.6,22.8
2017-06-05,34.2,21.4
1956-06-06,33.6,19.6
1952-06-07,38.2,19.3
1952-06-08,35,25.2
2001-06-09,35,18.8
2016-06-10,36.6,20.9
2012-06-11,34.6,23.8
1983-06-12,41,23.8
2016-06-13,39.7,22.3
2016-06-14,38,25.9
2001-06-15,37,18.8
1965-06-16,38,17.4
1965-06-17,35,25
2011-06-18,37.2,23.4
1987-06-19,35.6,16.2
1959-06-20,37.6,22.4
2012-06-21,35.2,24.4
1965-06-22,39,22
1971-06-23,36.4,15.8
2003-06-24,36.6,24
1980-06-25,37,24
2001-06-26,40,26
1954-06-27,40.2,20.6
2002-06-28,38.8,21.4
1959-06-29,39,21
2005-06-30,37.2,24
2020-07-01,38.7,19.6
1989-07-02,41.8,26
1999-07-03,39.8,21.2
2009-07-04,40.6,27
1994-07-05,44,24
1994-07-06,43.6,24.8
2011-07-07,38.6,23.5
1952-07-08,40.3,18.2
1985-07-09,40.8,20
1950-07-10,43.8,19.2
1951-07-11,37.8,19.6
2016-07-12,38.8,22.5
2010-07-13,38,20.4
1950-07-14,40.8,19.2
2019-07-15,39.1,25.3
1975-07-16,36.8,21.6
2005-07-17,40.4,24.2
1978-07-18,44.2,23
1957-07-19,38,22.8
2018-07-20,37.9,21.1
2008-07-21,37.8,23
2006-07-22,41.6,22.2
1950-07-23,41,19.6
2009-07-24,41.8,22
1980-07-25,39.4,17.6
2008-07-26,40,26.4
1982-07-27,41.6,22.4
1956-07-28,39.6,24
1959-07-29,41.4,27.4
2015-07-30,39.6,23.2
1965-07-31,39,22
2020-08-01,42.5,25.4
2020-08-02,43.7,25.3
1988-08-03,42,21.4
2016-08-04,41.7,20.9
1985-08-05,40.6,21
2011-08-06,39.4,26.4
2019-08-07,40.6,23.3
1970-08-08,42.8,23
1953-08-09,44,20.6
2019-08-10,38.8,24.2
1958-08-11,41,21
2012-08-12,41.4,27.2
2014-08-13,38.4,27.6
1989-08-14,38.2,26.6
1990-08-15,38.4,21
1952-08-16,39.5,21.8
1995-08-17,39.8,21.2
1995-08-18,39.2,25.6
2016-08-19,39.2,28.3
2016-08-20,40.5,28
1966-08-21,37.6,19
2020-08-22,40.5,20.5
1980-08-23,41.6,27
2010-08-24,39.8,27
2012-08-25,38,26.4
1950-08-26,39,23
1998-08-27,38.4,21
2020-08-28,39.6,20.9
1988-08-29,37.6,23.4
2012-08-30,38.4,24
1991-08-31,37.6,22
1955-09-01,40,25.4
2000-09-02,38.6,21.4
1999-09-03,38.6,25.2
2014-09-04,38.1,26.8
2005-09-05,37.4,22.6
2014-09-06,34.6,26.1
1990-09-07,35.2,22.2
1970-09-08,36.6,25
1986-09-09,34.8,18.8
1984-09-10,36.2,19
2011-09-11,36.8,19.6
1981-09-12,35.6,24.4
1980-09-13,38.6,21.8
2014-09-14,34.6,20.2
2017-09-15,34.1,21.3
1962-09-16,36,20
1983-09-17,36.2,22.6
2011-09-18,35.5,21.2
1981-09-19,34.2,21
1953-09-20,33.2,22
1950-09-21,36.6,17.8
2015-09-22,36,21.2
1968-09-23,35.6,24
2020-09-24,35.5,24.4
2019-09-25,35.6,22.8
1957-09-26,35,24.6
2007-09-27,32,18.4
2007-09-28,31.6,21.2
2003-09-29,31.4,22
1978-09-30,34.4,16.4
2019-10-01,35.2,17.9
2009-10-02,32.6,21
1999-10-03,33,14.6
1985-10-04,32.6,16.4
1967-10-05,32,20
2017-10-06,30.5,15
2018-10-07,33.8,17
1983-10-08,34.6,16.4
2009-10-09,30.8,20.4
1952-10-10,34.8,19.2
1952-10-11,36,19.6
1997-10-12,32.8,24.4
1952-10-13,32.4,20
1971-10-14,35.8,16.4
1971-10-15,31,21.6
1971-10-16,30,19
1967-10-17,30,15.5
1998-10-18,30,14.2
2013-10-19,28.7,16.6
2013-10-20,28.5,16.9
1981-10-21,28.8,16.8
2014-10-22,36.3,17.9
2001-10-23,28.6,17.2
1968-10-24,28,13.6
1998-10-25,28.4,15
1998-10-26,28.8,19
1984-10-27,28.4,17.6
1974-10-28,27.4,10.6
2019-10-29,28.3,14.4
2019-10-30,28.8,20
2001-10-31,27.6,13
2006-11-01,30,15.2
1995-11-02,28,14.8
2013-11-03,28.5,11.4
1995-11-04,30.4,16.6
