fecha,maxima,minima
1957-03-01,20,4.2
1977-03-02,22.5,6
1977-03-03,23.4,6.8
2007-03-04,22.8,7.7
1960-03-05,26.8,2
1960-03-06,23,3.2
2015-03-07,23.2,1.8
2000-03-08,21.5,1.5
2017-03-09,22.9,4.3
2017-03-10,25.7,4.8
2017-03-11,23.3,5.9
1989-03-12,23.6,5.2
2003-03-13,22.5,5.5
2012-03-14,23.1,4.6
1961-03-15,24.2,3
1961-03-16,24.4,3.8
1997-03-17,24.6,4.4
1957-03-18,25.8,3.4
1957-03-19,26,4.6
1957-03-20,24.8,7.3
1990-03-21,25.8,5.8
2001-03-22,23,15
2001-03-23,25.5,16
1955-03-24,30,12.5
1955-03-25,26,15.8
1989-03-26,25.6,3.8
1957-03-27,23,8.8
1957-03-28,25.3,7.1
1957-03-29,25.5,9.1
1965-03-30,24.4,6
1980-03-31,24,6.4
2011-04-01,25.2,7.2
2011-04-02,25.4,11.3
1985-04-03,25.8,7.6
1955-04-04,24.7,1.2
1955-04-05,27,4.3
1973-04-06,27.2,5.2
2011-04-07,27.5,10.9
2011-04-08,29.6,10.8
2011-04-09,28.3,11.2
2017-04-10,25.4,7.7
1995-04-11,24.2,5.2
2017-04-12,23.5,7.4
1955-04-13,28.5,7
1955-04-14,29.5,7.4
2014-04-15,26,11.6
2014-04-16,26.8,8.5
2013-04-17,28.4,12.2
2007-04-18,24.9,9.2
2007-04-19,26.1,9.2
2007-04-20,25.1,10.3
2007-04-21,24.6,8.3
2007-04-22,25.9,9.3
2007-04-23,26.7,9.7
2007-04-24,28.1,10.6
1977-04-25,27,7.4
2008-04-26,26.9,8.2
1955-04-27,27,4.8
1955-04-28,27.5,8
2005-04-29,28.5,10
2005-04-30,29.5,11
1994-05-01,28.6,10.4
1958-05-02,28.5,10
1994-05-03,27.4,11
1958-05-04,31.5,10.6
1955-05-05,29.5,9
1964-05-06,29,8.3
1964-05-07,31.4,9.4
1962-05-08,31.2,12.6
1955-05-09,30.5,13.2
2015-05-10,29.7,9.9
2015-05-11,30.7,14.1
2015-05-12,32.2,12.9
2015-05-13,31.4,17.6
1961-05-14,31.4,9.8
1965-05-15,31.8,12
1965-05-16,30.8,8.8
1992-05-17,31.2,12.2
1964-05-18,29.8,14.7
1958-05-19,31.5,12.2
2005-05-20,29,13
2020-05-21,30.1,13.3
2020-05-22,31.6,14.2
2003-05-23,32,9
2017-05-24,30.8,11.3
2017-05-25,32.4,14.7
2017-05-26,32.3,16.7
2005-05-27,32.5,11.5
2001-05-28,33,14
2001-05-29,33,14
2001-05-30,33.5,15
2003-05-31,32,15
2012-06-01,32.1,13.9
1955-06-02,32.5,13
1970-06-03,31.1,14.8
2015-06-04,32.3,15.6
2010-06-05,32.8,12.3
1983-06-06,33,20
1983-06-07,33.8,16.2
1982-06-08,33.6,14
2003-06-09,32.5,14
2003-06-10,33.5,16.5
2003-06-11,34,16.5
1964-06-12,34.2,14.8
2009-06-13,35.3,16.2
2017-06-14,35.3,17
2002-06-15,34.5,14.5
2002-06-16,35,15.5
2002-06-17,35.5,16
2017-06-18,36.1,15.9
1965-06-19,35.2,12
1965-06-20,35.8,14.8
2003-06-21,38,17
2003-06-22,38,18
1962-06-23,35.2,15
2001-06-24,35,15
2001-06-25,38.5,15.5
2011-06-26,36.8,17.8
2019-06-27,39.2,19.3
1986-06-28,37.4,16
2019-06-29,39.8,17.4
2019-06-30,39.2,15.8
2015-07-01,35.8,24
1994-07-02,36.8,16
1994-07-03,36,18
1959-07-04,37.6,13.4
1959-07-05,38,17.4
1982-07-06,39.6,19.6
1982-07-07,39.8,19.2
1982-07-08,39.4,25
1984-07-09,35.8,16.8
2006-07-10,37,15.9
1991-07-11,37.2,18.4
2003-07-12,38,18.5
2003-07-13,37.5,18.5
2005-07-14,37.5,14.5
2005-07-15,38,20
2005-07-16,37,18.5
2014-07-17,36.1,20.6
2012-07-18,36.6,14.8
1995-07-19,38.6,15.2
1995-07-20,40,20.4
1995-07-21,39.4,18.2
2009-07-22,37.3,17.7
1984-07-23,37.5,16.5
1985-07-24,37.6,17.4
1954-07-25,38.6,15
1956-07-26,37.4,14.5
1956-07-27,36.9,17.5
1958-07-28,37.5,18
1981-07-29,38.2,14
1983-07-30,40.2,17.7
1957-07-31,36.6,15.1
1957-08-01,40.3,19.1
1957-08-02,39,19.5
1957-08-03,37.2,19.6
2003-08-04,39.5,21
2003-08-05,39,23
2003-08-06,39,21
2003-08-07,39,20
2003-08-08,38,20
1998-08-09,38,18.5
2012-08-10,40.2,19.2
2003-08-11,39,17
2003-08-12,39.5,19.5
1987-08-13,40,20.2
1987-08-14,39,23.8
1987-08-15,40.2,20.6
1974-08-16,37.2,18.8
2012-08-17,39.6,18.6
2012-08-18,40.6,19.8
2012-08-19,38,24.8
2011-08-20,39.3,19.5
2012-08-21,37.9,19.2
1960-08-22,36.3,20.8
1960-08-23,36.5,16
2001-08-24,37,17.5
2001-08-25,36.5,17.5
2010-08-26,37.8,19.2
1991-08-27,38,19
1991-08-28,37.6,20.6
1961-08-29,36.8,17.2
1962-08-30,36.8,16
1962-08-31,36.8,16.2
2006-09-05,35.4,16.7
1988-09-06,35.6,16
1988-09-07,36.8,15.4
1958-09-08,38.8,17.8
1987-09-15,35.6,15.4
1987-09-16,35.8,16.2
1987-09-17,32.4,17
1987-09-18,33,15
1954-09-19,33,11.8
2018-09-20,32.3,16.3
1983-09-21,32,15.4
1983-09-23,31.9,15.2
1962-09-24,32.4,7.6
1983-09-25,35,12.6
1985-09-29,29.4,14
1985-09-30,29.6,11.8
1956-10-01,29,13.5
1954-10-02,29,8.4
1985-10-03,28.6,20.4
2004-10-04,30,12.5
2004-10-05,29.5,11.5
2009-10-06,27.1,18.7
1976-10-07,27.2,11.2
2012-10-08,29.8,15.3
2012-10-09,27.1,13.7
1965-10-10,28.8,12.2
2011-10-11,28.4,9.9
1963-10-12,28.8,7
1985-10-13,28.2,8.6
2017-10-14,27.2,13.2
1955-10-15,25.8,7.2
2017-10-16,26.2,12.5
1954-10-17,29,7.8
1954-10-18,29,8
1957-10-19,28.8,13.2
2014-10-20,25.8,12.5
2014-10-21,24.7,11.9
1989-10-22,25.2,14
1963-10-23,24.2,8
2014-10-24,26.4,5.4
2014-10-25,26,10.6
2017-10-26,26.3,10.4
1954-10-27,25,10.4
1954-10-28,26.5,10
1954-10-29,26.5,10
1975-10-30,23.6,10.2
1989-10-31,24,6.6
1981-11-01,22.4,7.6
1954-11-02,27,15
1954-11-03,24,7.4
1954-11-04,25,8
1954-11-05,25,6.8
2015-11-06,23.5,10.4
2015-11-07,22.4,12.2
2015-11-08,23.9,10.4
1985-11-09,23.6,12
1963-11-10,19.8,11
1977-11-11,20,5.4
2011-11-12,21.5,10.6
2011-11-13,18.9,12.9
2012-11-14,19.7,4.4
1975-11-15,20.6,5.8
2009-11-16,19.9,11.2
2016-11-17,18.7,4.2
2015-11-18,19.8,5.4
2009-11-19,21.3,5.8
1980-11-20,18.2,4.8
1995-11-21,18.6,6.8
1984-11-22,17.5,11.5
2014-11-23,19.7,9.9
2014-11-24,18.8,12.1
1992-11-25,19,8.8
1991-11-26,16.8,7
1981-11-27,18,1
1970-11-28,18.8,9
1970-11-29,19.3,8.7
1954-11-30,17,11.6
1979-12-01,19.6,2.4
1979-12-02,17.4,2.2
1955-12-03,17,5
1961-12-04,17.2,6.1
1955-12-05,18,1.2
2000-12-06,15,10
2000-12-07,18,10
2010-12-08,17.8,12.1
1978-12-09,17.8,11.8
1961-12-10,18.2,8.8
1961-12-11,17.6,7.1
1978-12-12,19.2,10
1981-12-13,17,11.2
1989-12-14,18.6,13
1989-12-15,18.2,14.8
1985-12-16,18.8,2.8
1987-12-17,18.5,8.5
2015-12-18,16.2,4.6
1987-12-19,16.6,5.6
1987-12-20,16.8,5.6
1971-12-21,16.9,6.6
2012-12-22,14.7,6.1
1991-12-23,16.6,0.6
1955-12-24,17.3,7.6
1977-12-25,16.6,6.6
1999-12-26,16,8
1999-12-27,16,8.5
2019-12-28,16.7,2.7
1958-12-29,15.5,7
2017-12-30,16.6,6.7
1994-12-31,15.6,5
