fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2022-01-01,Enero,1,21.0,20.2,2022,1996
2003-01-02,Enero,2,20.8,20.1,2003,2018
2018-01-03,Enero,3,21.8,20.8,2018,2003
2018-01-04,Enero,4,22.2,20.4,2018,2022
2013-01-05,Enero,5,21.6,20.0,2013,2018
2008-01-06,Enero,6,20.9,19.5,2008,1958
2013-01-07,Enero,7,21.8,21.5,2013,2016
2016-01-08,Enero,8,24.2,21.2,2016,1982
1982-01-09,Enero,9,20.2,20.2,1982,2016
2004-01-10,Enero,10,20.7,20.7,2004,2015
2004-01-11,Enero,11,20.7,20.6,2004,1991
1955-01-12,Enero,12,21.1,19.4,1955,1993
2004-01-13,Enero,13,22.6,21.5,2004,1955
1955-01-14,Enero,14,20.6,19.5,1955,2015
1955-01-15,Enero,15,22.5,19.6,1955,1986
1974-01-16,Enero,16,19.4,19.4,1974,2024
2024-01-17,Enero,17,20.0,19.5,2024,1955
2024-01-18,Enero,18,21.3,20.2,2024,1969
2007-01-19,Enero,19,21.7,19.8,2007,1998
1984-01-20,Enero,20,22.0,21.5,1984,2007
2018-01-21,Enero,21,22.7,19.1,2018,2012
2018-01-22,Enero,22,21.0,19.2,2018,2008
2018-01-23,Enero,23,20.6,20.5,2018,2009
2024-01-24,Enero,24,22.1,20.0,2024,1980
1995-01-25,Enero,25,22.4,21.1,1995,2014
2024-01-26,Enero,26,22.7,20.7,2024,2014
2003-01-27,Enero,27,23.7,21.5,2003,2021
2021-01-28,Enero,28,24.7,20.4,2021,1975
1988-01-29,Enero,29,24.2,22.4,1988,1975
2013-01-30,Enero,30,21.3,20.6,2013,2022
2020-01-31,Enero,31,22.3,22.2,2020,2013
2016-02-01,Febrero,1,23.5,23.3,2016,2020
2020-02-02,Febrero,2,23.0,22.0,2020,2022
2020-02-03,Febrero,3,24.2,22.2,2020,2021
1980-02-04,Febrero,4,23.4,21.3,1980,2023
1980-02-05,Febrero,5,23.6,21.4,1980,1961
1961-02-06,Febrero,6,23.2,21.6,1961,1979
2017-02-07,Febrero,7,20.9,20.7,2017,2024
1966-02-08,Febrero,8,22.5,22.2,1966,1984
1977-02-09,Febrero,9,22.2,21.4,1977,1955
2020-02-10,Febrero,10,21.9,21.4,2020,2000
2007-02-11,Febrero,11,22.0,21.4,2007,1961
2016-02-12,Febrero,12,21.2,20.8,2016,2007
2016-02-13,Febrero,13,23.8,21.6,2016,2014
1990-02-14,Febrero,14,22.7,21.5,1990,1995
2007-02-15,Febrero,15,24.3,22.2,2007,1990
1990-02-16,Febrero,16,23.2,22.5,1990,1995
1958-02-17,Febrero,17,22.1,21.6,1958,1995
1989-02-18,Febrero,18,25.0,22.8,1989,1978
1978-02-19,Febrero,19,22.6,22.4,1978,1989
1999-02-20,Febrero,20,21.1,21.0,1999,1967
1967-02-21,Febrero,21,23.2,22.6,1967,1999
2019-02-22,Febrero,22,24.0,21.8,2019,2016
1967-02-23,Febrero,23,23.6,22.8,1967,1957
1957-02-24,Febrero,24,23.6,21.6,1957,2020
1997-02-25,Febrero,25,22.6,22.3,1997,1957
2012-02-26,Febrero,26,24.7,22.8,2012,1997
1990-02-27,Febrero,27,23.5,23.0,1990,1960
1990-02-28,Febrero,28,23.7,23.5,1990,2007
2024-02-29,Febrero,29,19.5,19.2,2024,1960
1967-03-01,Marzo,1,23.4,23.4,1967,1967
1987-03-02,Marzo,2,25.4,24.7,1987,2015
2007-03-03,Marzo,3,24.3,23.9,2007,1961
1977-03-04,Marzo,4,26.6,24.3,1977,1960
2020-03-05,Marzo,5,23.5,23.5,2020,2020
2017-03-06,Marzo,6,22.7,21.5,2017,2019
2001-03-07,Marzo,7,24.2,24.0,2001,1998
1998-03-08,Marzo,8,23.6,22.9,1998,2006
2017-03-09,Marzo,9,23.6,22.0,2017,2000
