fecha,maxima,minima
1996-01-01,20.2,10.4
2003-01-02,20.8,11.8
2018-01-03,21.8,16.5
2018-01-04,22.2,15.3
2013-01-05,21.6,1.3
2008-01-06,20.9,6.2
2013-01-07,21.8,2
2016-01-08,24.2,12.2
1982-01-09,20.2,6
2004-01-10,20.7,11.4
2004-01-11,20.7,8.2
1955-01-12,21.1,16.5
2004-01-13,22.6,15.4
1955-01-14,20.6,15.5
1955-01-15,22.5,11.7
1974-01-16,19.4,5
1955-01-17,19.5,9.5
1969-01-18,20.2,10
2007-01-19,21.7,6.9
1984-01-20,22,8
2018-01-21,22.7,14.8
2018-01-22,21,11.3
2018-01-23,20.6,7.6
1980-01-24,20,7.8
1995-01-25,22.4,10.5
2014-01-26,20.7,12.4
2003-01-27,23.7,5.6
1975-01-28,20.4,11
1988-01-29,24.2,9.2
2013-01-30,21.3,2.1
2020-01-31,22.3,7.1
2016-02-01,23.5,7.3
2020-02-02,23,8.1
2020-02-03,24.2,8.4
1980-02-04,23.4,13
1980-02-05,23.6,9.6
1961-02-06,23.2,6.8
2017-02-07,20.9,10.4
1966-02-08,22.5,9.5
1977-02-09,22.2,12.4
2020-02-10,21.9,6.7
2007-02-11,22,8.1
2016-02-12,21.2,8.8
2016-02-13,23.8,13
1990-02-14,22.7,12.9
2007-02-15,24.3,3.5
1990-02-16,23.2,9
1958-02-17,22.1,8.1
1989-02-18,25,5.2
1978-02-19,22.6,8.2
1999-02-20,21.1,5.2
1967-02-21,23.2,13
2019-02-22,24,2.5
1967-02-23,23.6,6.6
1957-02-24,23.6,8
1997-02-25,22.6,8
2012-02-26,24.7,4.9
1990-02-27,23.5,12
1990-02-28,23.7,12
1960-02-29,19.2,8.8
1967-03-01,23.4,9.4
1987-03-02,25.4,9
2007-03-03,24.3,10
1977-03-04,26.6,8
2020-03-05,23.5,7.8
2017-03-06,22.7,12.5
2001-03-07,24.2,11.1
1998-03-08,23.6,8.6
2017-03-09,23.6,7.5
2000-03-10,24.1,7
2008-03-11,23.1,11.4
1981-03-12,24,14
2019-03-13,23,13.6
1958-03-14,24.6,9
1958-03-15,24.5,13.7
2014-03-16,26.6,9.2
2019-03-17,24.9,11.1
1997-03-18,27.2,7.8
2002-03-19,24.6,11.6
2001-03-20,23.8,11.5
1967-03-21,25,9
2001-03-22,27,12.2
2001-03-23,25.6,9.6
1981-03-24,26.2,13
1988-03-25,26.2,10.3
1988-03-26,24.2,8.3
1980-03-27,24.8,12.2
2015-03-28,25.6,14.4
1980-03-29,25.4,13.6
2015-03-30,25.9,15.9
2015-03-31,27.7,10.9
1980-04-01,30.2,9.2
1972-04-02,26.8,9.4
2008-04-03,25.3,6.8
1960-04-04,23.6,10.2
2014-04-05,25.8,10.6
2003-04-06,27.5,4.8
1993-04-07,25.6,10.4
1995-04-08,26.6,8.2
1995-04-09,26.5,9
2011-04-10,27.6,12.2
2011-04-11,27.6,13.2
2011-04-12,26.2,12.6
2014-04-13,26.3,10
1964-04-14,24,9.6
1975-04-15,24.8,8.2
1975-04-16,26.6,16.4
2016-04-17,26.1,12.4
1992-04-18,26.2,8.5
1966-04-19,26.2,10
2000-04-20,26.2,8.6
1999-04-21,25.6,12.5
1969-04-22,26,16
2009-04-23,27.1,6.8
1964-04-24,26.6,9.2
2002-04-25,26.7,9.7
2006-04-26,26.7,10.1
1997-04-27,25.7,11
1997-04-28,27.7,11.5
1997-04-29,28.2,13.6
2014-04-30,27,10.9
2015-05-01,28.3,13.5
2020-05-02,29.2,15.2
2015-05-03,28.3,14.8
1965-05-04,26.4,10
2015-05-05,29.9,13.8
1953-05-06,27.9,12.5
2013-05-07,27.7,13.4
2015-05-08,30.7,12.9
1995-05-09,28.8,16
1956-05-10,29.3,12.1
2007-05-11,29.7,12.1
2019-05-12,28.5,10.6
2003-05-13,27.7,14
1999-05-14,31,15.4
2016-05-15,27.5,13.6
2015-05-16,30.7,14.1
2007-05-17,29.1,12.8
2007-05-18,31.1,16.6
2020-05-19,30.9,14.1
1975-05-20,29.6,13
1986-05-21,30.2,16.5
2006-05-22,28.9,15.7
2007-05-23,30,15.6
2007-05-24,30.5,14.4
2017-05-25,29.2,15.6
2015-05-26,29.4,15.7
1953-05-27,31.3,17.1
1953-05-28,30.1,18.5
2000-05-29,31.7,15.2
1953-05-30,30.2,15.3
2010-05-31,32.8,17
1953-06-01,29.7,16.6
1999-06-02,31.4,17
2001-06-03,30,14.9
1998-06-04,30.5,17.6
2015-06-05,30,15.3
2017-06-06,31.1,14.8
1964-06-07,34,17
2015-06-08,31.6,15.7
2014-06-09,30.3,16.2
2019-06-10,29.8,13.4
2017-06-11,31.4,17.1
2014-06-12,32.4,16.4
2014-06-13,35.3,18.8
2014-06-14,35.2,18.9
2017-06-15,34.2,21.2
2000-06-16,34.6,16
2004-06-17,33.5,15.6
2003-06-18,31.8,20.4
2003-06-19,31.8,18.9
2003-06-20,32.4,19.4
2012-06-21,36.8,18.7
2003-06-22,32.7,17.6
2005-06-23,32.6,19.9
2005-06-24,32.9,20.9
2007-06-25,34.7,17.8
2019-06-26,34.3,18.9
2019-06-27,33.7,19.2
2019-06-28,34.3,19.1
2019-06-29,36.1,20.1
2003-06-30,32.6,20.8
1968-07-01,33,20
1989-07-02,34.4,21.6
1974-07-03,34,18
2015-07-04,35.4,21.6
2015-07-05,33.8,20.4
1986-07-06,37.4,19
2000-07-07,36.4,18
2015-07-08,34.1,22.6
2015-07-09,34.1,19.7
1990-07-10,33.2,19.2
2006-07-11,33.3,20.7
2006-07-12,35.5,21.1
2006-07-13,34.3,20.9
1971-07-14,33,19.6
2019-07-15,33.5,21.7
2018-07-16,35.1,22.4
2006-07-17,33.6,22.5
2005-07-18,35,22
1998-07-19,33,16.5
2006-07-20,33.4,21.1
1969-07-21,35,19.6
2015-07-22,36.3,25.2
2006-07-23,34.4,22.9
1973-07-24,34.8,20.4
2004-07-25,34.6,20.1
2006-07-26,34.5,18.7
1988-07-27,34.4,21.4
2013-07-28,36.1,22
2006-07-29,34.5,22.1
1999-07-30,35.8,21.4
2001-07-31,34.6,19.5
2018-08-01,35.4,21.1
1964-08-02,36.2,18.6
2017-08-03,37.5,23.3
2018-08-04,39.8,24.4
2018-08-05,38.3,25.3
1990-08-06,35.4,23.6
2003-08-07,35.4,19.8
1975-08-08,35.3,22.5
2003-08-09,35,22.7
2003-08-10,35.1,20.1
2003-08-11,34.6,20.6
2003-08-12,36,19.3
2015-08-13,36.9,25.2
2003-08-14,35.5,20.5
1987-08-15,35.7,21.6
1987-08-16,33.6,20.6
2017-08-17,32.3,20.9
1986-08-18,35,21
2009-08-19,33.6,16.7
2018-08-20,34.9,18.7
1953-08-21,34.4,22.4
2012-08-22,32.9,22.8
2012-08-23,33.5,22.4
2000-08-24,35.3,22.5
1999-08-25,33,21.2
2000-08-26,34.5,20
2010-08-27,38,20.4
2006-08-28,33.2,18.6
2001-08-29,36.4,21.5
