fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1988-09-01,Septiembre,1,35.4,35.2,1988,1978
2022-09-02,Septiembre,2,36.6,33.2,2022,1974
1999-09-03,Septiembre,3,38.4,36.0,1999,2008
1998-09-04,Septiembre,4,37.2,36.0,1998,2008
2016-09-05,Septiembre,5,34.6,32.7,2016,1998
1982-09-06,Septiembre,6,35.8,33.8,1982,1974
1998-09-07,Septiembre,7,34.5,33.3,1998,2022
1994-09-08,Septiembre,8,35.2,32.7,1994,2003
1966-09-09,Septiembre,9,34.0,33.2,1966,2005
1983-09-10,Septiembre,10,34.2,33.6,1983,1966
2014-09-11,Septiembre,11,36.7,36.1,2014,2017
1993-09-12,Septiembre,12,34.6,33.4,1993,1998
1998-09-13,Septiembre,13,34.6,33.6,1998,1986
2017-09-14,Septiembre,14,37.0,34.6,2017,1953
2022-09-15,Septiembre,15,34.2,32.6,2022,1993
2005-09-16,Septiembre,16,37.5,34.4,2005,1994
1959-09-17,Septiembre,17,32.5,32.5,1959,2014
1987-09-18,Septiembre,18,32.6,32.2,1987,2014
2014-09-19,Septiembre,19,33.0,32.0,2014,1953
1968-09-20,Septiembre,20,33.2,32.2,1968,2020
1990-09-21,Septiembre,21,33.8,33.6,1990,1968
1990-09-22,Septiembre,22,35.0,33.4,1990,1958
1968-09-23,Septiembre,23,34.8,34.6,1968,1987
2019-09-24,Septiembre,24,34.5,34.0,2019,1968
2017-09-25,Septiembre,25,35.2,33.4,2017,1974
1975-09-26,Septiembre,26,32.0,31.6,1975,1983
1987-09-27,Septiembre,27,31.6,30.5,1987,1954
1999-09-28,Septiembre,28,33.0,30.4,1999,1954
1973-09-29,Septiembre,29,34.8,30.8,1973,1999
1999-09-30,Septiembre,30,31.6,31.2,1999,2023
2019-10-01,Octubre,1,32.9,31.7,2019,2023
2006-10-02,Octubre,2,33.4,31.3,2006,2023
2023-10-03,Octubre,3,33.6,30.6,2023,1954
1968-10-04,Octubre,4,30.2,29.9,1968,2004
2023-10-05,Octubre,5,31.9,30.2,2023,2004
2009-10-06,Octubre,6,31.5,31.5,2009,2023
2023-10-07,Octubre,7,30.9,30.5,2023,1952
2023-10-08,Octubre,8,30.4,29.6,2023,2012
2019-10-09,Octubre,9,30.8,29.2,2019,2012
2012-10-10,Octubre,10,29.6,28.4,2012,2017
2011-10-11,Octubre,11,30.6,29.1,2011,2017
2017-10-12,Octubre,12,30.5,30.4,2017,2011
2011-10-13,Octubre,13,31.4,31.1,2011,2023
2017-10-14,Octubre,14,29.4,28.2,2017,1968
2022-10-15,Octubre,15,29.7,28.6,2022,1981
1981-10-16,Octubre,16,28.4,26.8,1981,2022
2014-10-17,Octubre,17,27.4,27.4,2014,2023
2014-10-18,Octubre,18,30.6,28.6,2014,2013
2022-10-19,Octubre,19,30.0,28.6,2022,2014
2014-10-20,Octubre,20,29.6,26.2,2014,2004
2014-10-21,Octubre,21,29.8,25.4,2014,1983
2014-10-22,Octubre,22,26.4,25.4,2014,1983
2004-10-23,Octubre,23,28.8,26.4,2004,1996
2004-10-24,Octubre,24,29.0,26.4,2004,2014
2022-10-25,Octubre,25,27.4,26.3,2022,2017
2022-10-26,Octubre,26,27.9,26.9,2022,2017
2022-10-27,Octubre,27,29.7,27.9,2022,2017
2022-10-28,Octubre,28,27.6,27.0,2022,2006
2006-10-29,Octubre,29,28.2,27.0,2006,1954
2009-10-30,Octubre,30,27.8,27.4,2009,2006
2001-10-31,Octubre,31,26.2,25.6,2001,2009
2019-11-01,Noviembre,1,30.1,30.1,2019,2019
1995-11-02,Noviembre,2,29.9,28.0,1995,2013
2002-11-03,Noviembre,3,29.0,27.2,2002,1991
2012-11-04,Noviembre,4,27.8,27.0,2012,1953
2013-11-05,Noviembre,5,28.8,27.4,2013,1979
2013-11-06,Noviembre,6,31.2,28.8,2013,1985
1979-11-07,Noviembre,7,28.4,26.4,1979,1954
1985-11-08,Noviembre,8,30.2,26.2,1985,2013
1985-11-09,Noviembre,9,32.0,25.4,1985,1950
1985-11-10,Noviembre,10,30.4,29.0,1985,2002
1954-11-11,Noviembre,11,27.0,26.0,1954,2013
2023-11-12,Noviembre,12,26.6,26.4,2023,1998
2023-11-13,Noviembre,13,29.0,26.2,2023,1977
2023-11-14,Noviembre,14,30.0,26.6,2023,2009
2009-11-15,Noviembre,15,27.0,26.0,2009,1964
2009-11-16,Noviembre,16,30.0,25.6,2009,1975
2023-11-17,Noviembre,17,26.0,25.6,2023,1995
1994-11-18,Noviembre,18,24.9,24.9,1994,2016
1994-11-19,Noviembre,19,25.2,24.3,1994,2006
2015-11-20,Noviembre,20,27.0,25.0,2015,1992
1972-11-21,Noviembre,21,24.4,23.0,1972,1983
2009-11-22,Noviembre,22,25.4,24.5,2009,2008
2017-11-23,Noviembre,23,25.2,24.6,2017,1984
2017-11-24,Noviembre,24,25.7,24.2,2017,1984
1992-11-25,Noviembre,25,24.7,24.2,1992,1974
2000-11-26,Noviembre,26,25.0,24.1,2000,2019
1950-11-27,Noviembre,27,26.0,25.4,1950,1974
1974-11-28,Noviembre,28,25.0,24.0,1974,1981
1983-11-29,Noviembre,29,25.4,23.2,1983,2023
1954-11-30,Noviembre,30,23.6,23.4,1954,1973
1952-12-01,Diciembre,1,24.5,22.8,1952,1973
1996-12-02,Diciembre,2,24.2,22.6,1996,2018
2007-12-03,Diciembre,3,22.3,22.2,2007,2006
2018-12-04,Diciembre,4,24.3,23.8,2018,2006
1994-12-05,Diciembre,5,23.2,23.2,1994,2006
1954-12-06,Diciembre,6,24.9,24.5,1954,2010
1976-12-07,Diciembre,7,22.8,22.7,1976,2007
2010-12-08,Diciembre,8,24.8,23.1,2010,2009
1978-12-09,Diciembre,9,25.0,24.0,1978,2010
1978-12-10,Diciembre,10,25.2,24.8,1978,2023
2023-12-11,Diciembre,11,27.3,23.0,2023,2020
2023-12-12,Diciembre,12,25.5,24.1,2023,1998
1978-12-13,Diciembre,13,24.2,23.9,1978,2000
2003-12-14,Diciembre,14,25.0,24.2,2003,1981
1989-12-15,Diciembre,15,23.0,22.5,1989,1955
1989-12-16,Diciembre,16,23.5,22.5,1989,1955
1987-12-17,Diciembre,17,24.7,22.5,1987,1989
1987-12-18,Diciembre,18,22.2,22.0,1987,2004
1969-12-19,Diciembre,19,21.8,21.2,1969,1987
1980-12-20,Diciembre,20,23.0,22.2,1980,2019
2019-12-21,Diciembre,21,25.3,23.0,2019,2003
1952-12-22,Diciembre,22,24.3,23.6,1952,2022
2022-12-23,Diciembre,23,23.9,23.3,2022,1952
2022-12-24,Diciembre,24,24.8,24.2,2022,2019
2022-12-25,Diciembre,25,25.2,24.0,2022,1968
1968-12-26,Diciembre,26,24.0,23.3,1968,2019
2021-12-27,Diciembre,27,23.4,21.2,2021,2022
2021-12-28,Diciembre,28,21.8,21.0,2021,1955
2009-12-29,Diciembre,29,24.1,24.0,2009,2021
2021-12-30,Diciembre,30,24.0,23.2,2021,2017
2022-12-31,Diciembre,31,23.8,22.2,2022,1978
1980-01-01,Enero,1,22.4,21.8,1980,1996
1960-01-02,Enero,2,21.6,21.6,1960,1987
2015-01-03,Enero,3,23.7,23.0,2015,1960
2022-01-04,Enero,4,24.4,23.5,2022,2016
2012-01-05,Enero,5,25.6,22.5,2012,2001
2008-01-06,Enero,6,23.4,23.0,2008,2011
1982-01-07,Enero,7,24.6,22.3,1982,2013
1982-01-08,Enero,8,24.6,22.2,1982,1999
2023-01-09,Enero,9,23.2,22.8,2023,2004
2004-01-10,Enero,10,25.4,24.4,2004,2015
2015-01-11,Enero,11,24.3,23.6,2015,1986
1994-01-12,Enero,12,22.6,22.5,1994,1955
2004-01-13,Enero,13,23.2,22.5,2004,1955
2024-01-14,Enero,14,22.4,21.4,2024,1974
1955-01-15,Enero,15,24.2,21.8,1955,1986
1968-01-16,Enero,16,22.8,22.5,1968,2024
2018-01-17,Enero,17,23.8,23.4,2018,2024
2008-01-18,Enero,18,23.7,23.2,2008,1955
2007-01-19,Enero,19,25.0,24.0,2007,1969
1966-01-20,Enero,20,24.5,24.0,1966,1981
2018-01-21,Enero,21,26.4,25.2,2018,2005
2018-01-22,Enero,22,26.6,25.3,2018,2008
2004-01-23,Enero,23,23.6,22.6,2004,2024
1980-01-24,Enero,24,23.4,23.4,1980,2004
2024-01-25,Enero,25,24.6,24.0,2024,1995
2014-01-26,Enero,26,24.2,22.4,2014,2002
2021-01-27,Enero,27,25.8,22.6,2021,2002
2021-01-28,Enero,28,25.9,25.4,2021,2003
2021-01-29,Enero,29,26.0,25.4,2021,1975
2013-01-30,Enero,30,24.8,24.0,2013,1983
1983-01-31,Enero,31,24.2,23.7,1983,2020
2020-02-01,Febrero,1,27.1,25.8,2020,2000
2020-02-02,Febrero,2,24.9,24.0,2020,2000
2020-02-03,Febrero,3,25.6,23.8,2020,2000
1980-02-04,Febrero,4,27.2,27.1,1980,2020
1961-02-05,Febrero,5,26.0,25.0,1961,1999
1961-02-06,Febrero,6,26.6,24.6,1961,1979
1985-02-07,Febrero,7,25.4,24.6,1985,1984
1984-02-08,Febrero,8,25.6,25.2,1984,2000
1966-02-09,Febrero,9,24.5,23.6,1966,1955
1955-02-10,Febrero,10,25.5,24.9,1955,2020
2020-02-11,Febrero,11,25.0,23.0,2020,2021
1997-02-12,Febrero,12,24.8,24.0,1997,2007
2024-02-13,Febrero,13,25.9,25.7,2024,2005
1990-02-14,Febrero,14,26.5,26.4,1990,2014
1990-02-15,Febrero,15,27.6,24.1,1990,2014
1990-02-16,Febrero,16,26.5,26.0,1990,1995
1995-02-17,Febrero,17,25.8,25.0,1995,1958
1978-02-18,Febrero,18,25.4,23.7,1978,1989
2000-02-19,Febrero,19,26.4,23.6,2000,1978
1970-02-20,Febrero,20,25.0,24.1,1970,1999
1999-02-21,Febrero,21,25.6,25.0,1999,1950
1999-02-22,Febrero,22,27.2,24.5,1999,2024
2002-02-23,Febrero,23,25.0,24.8,2002,1970
1995-02-24,Febrero,24,25.0,23.5,1995,1997
1995-02-25,Febrero,25,26.6,26.4,1995,1997
2002-02-26,Febrero,26,27.0,26.5,2002,1966
1990-02-27,Febrero,27,29.0,25.5,1990,2020
1990-02-28,Febrero,28,29.0,27.0,1990,1987
1960-02-29,Febrero,29,25.2,23.8,1960,2020
2007-03-01,Marzo,1,26.0,26.0,2007,2007
1987-03-02,Marzo,2,30.0,29.2,1987,2015
2007-03-03,Marzo,3,28.6,26.0,2007,1977
1977-03-04,Marzo,4,26.2,26.0,1977,1960
2001-03-05,Marzo,5,25.7,25.4,2001,1998
2017-03-06,Marzo,6,25.7,25.0,2017,1952
1998-03-07,Marzo,7,29.2,27.1,1998,2017
1998-03-08,Marzo,8,28.4,26.6,1998,2006
2017-03-09,Marzo,9,28.0,26.4,2017,2023
2023-03-10,Marzo,10,27.2,26.4,2023,2001
2023-03-11,Marzo,11,27.0,26.0,2023,2008
1981-03-12,Marzo,12,29.4,29.2,1981,2023
2023-03-13,Marzo,13,29.5,27.0,2023,1990
2023-03-14,Marzo,14,26.2,24.8,2023,1977
2000-03-15,Marzo,15,26.6,25.6,2000,1958
1974-03-16,Marzo,16,26.8,26.2,1974,1989
2019-03-17,Marzo,17,29.8,27.6,2019,1988
1988-03-18,Marzo,18,28.6,28.0,1988,1997
2002-03-19,Marzo,19,29.0,28.4,2002,1997
2001-03-20,Marzo,20,28.5,27.0,2001,1951
2001-03-21,Marzo,21,29.7,27.6,2001,1965
2001-03-22,Marzo,22,31.0,29.0,2001,1990
2001-03-23,Marzo,23,30.4,28.0,2001,1981
2001-03-24,Marzo,24,29.2,29.0,2001,1988
1988-03-25,Marzo,25,33.2,28.0,1988,2016
1988-03-26,Marzo,26,31.0,30.1,1988,2023
2006-03-27,Marzo,27,28.2,27.2,2006,1980
2018-03-28,Marzo,28,30.0,26.9,2018,2015
1995-03-29,Marzo,29,28.0,27.9,1995,2005
2023-03-30,Marzo,30,31.2,31.0,2023,2015
2023-03-31,Marzo,31,29.0,28.6,2023,1965
1980-04-01,Abril,1,34.2,30.0,1980,2006
1962-04-02,Abril,2,27.0,26.4,1962,1977
1985-04-03,Abril,3,29.6,27.6,1985,1998
1972-04-04,Abril,4,29.8,28.6,1972,2001
2014-04-05,Abril,5,29.3,27.0,2014,1962
1967-04-06,Abril,6,31.0,28.5,1967,2001
1994-04-07,Abril,7,27.4,26.7,1994,1959
1983-04-08,Abril,8,29.4,27.4,1983,1985
2011-04-09,Abril,9,30.2,28.0,2011,1994
1983-04-10,Abril,10,31.6,26.7,1983,2012
1983-04-11,Abril,11,27.6,27.5,1983,2013
2023-04-12,Abril,12,31.5,26.6,2023,2013
1988-04-13,Abril,13,27.6,27.2,1988,1956
2019-04-14,Abril,14,30.4,28.2,2019,2017
2023-04-15,Abril,15,29.0,28.2,2023,1966
1975-04-16,Abril,16,28.0,28.0,1975,2016
2016-04-17,Abril,17,27.9,26.0,2016,2005
1992-04-18,Abril,18,29.0,28.0,1992,1966
2014-04-19,Abril,19,33.4,28.4,2014,1961
1999-04-20,Abril,20,30.4,29.2,1999,2000
2000-04-21,Abril,21,28.5,27.1,2000,1999
1999-04-22,Abril,22,27.9,26.6,1999,1979
1979-04-23,Abril,23,28.6,28.4,1979,2001
2001-04-24,Abril,24,29.1,27.8,2001,2005
1961-04-25,Abril,25,28.6,28.4,1961,2002
2014-04-26,Abril,26,29.4,28.4,2014,1997
1997-04-27,Abril,27,30.4,28.5,1997,1968
1959-04-28,Abril,28,27.5,26.8,1959,1998
1997-04-29,Abril,29,32.5,29.2,1997,1962
2003-04-30,Abril,30,28.2,27.0,2003,2020
2015-05-01,Mayo,1,31.8,31.4,2015,2020
2020-05-02,Mayo,2,33.0,29.6,2020,1955
2015-05-03,Mayo,3,35.2,28.6,2015,1962
1965-05-04,Mayo,4,32.6,30.6,1965,2024
1962-05-05,Mayo,5,31.0,30.8,1962,1999
2024-05-06,Mayo,6,29.6,28.1,2024,2017
2013-05-07,Mayo,7,32.8,29.4,2013,1989
2015-05-08,Mayo,8,32.6,31.6,2015,2012
2007-05-09,Mayo,9,30.8,29.8,2007,1969
2019-05-10,Mayo,10,32.5,32.0,2019,2005
2007-05-11,Mayo,11,33.8,27.4,2007,2020
1977-05-12,Mayo,12,30.0,28.6,1977,1960
2007-05-13,Mayo,13,32.5,29.4,2007,2012
2015-05-14,Mayo,14,42.0,36.2,2015,1999
2021-05-15,Mayo,15,32.6,30.0,2021,1963
2021-05-16,Mayo,16,35.0,34.0,2021,1961
1965-05-17,Mayo,17,32.6,29.4,1965,1961
1992-05-18,Mayo,18,35.0,34.4,1992,1995
2003-05-19,Mayo,19,30.4,28.4,2003,1992
1997-05-20,Mayo,20,28.8,28.2,1997,1960
1994-05-21,Mayo,21,29.8,29.7,1994,2020
1967-05-22,Mayo,22,31.5,31.5,1967,2016
2022-05-23,Mayo,23,32.6,30.5,2022,2003
1994-05-24,Mayo,24,30.4,30.0,1994,2002
1967-05-25,Mayo,25,32.8,31.3,1967,2011
1994-05-26,Mayo,26,33.8,30.4,1994,1987
1953-05-27,Mayo,27,29.9,29.4,1953,1960
2000-05-28,Mayo,28,34.6,32.4,2000,2016
2000-05-29,Mayo,29,32.8,30.6,2000,2001
1993-05-30,Mayo,30,30.6,30.6,1993,2001
2010-05-31,Mayo,31,36.2,31.9,2010,1953
1952-06-01,Junio,1,32.3,30.0,1952,1976
1994-06-02,Junio,2,33.6,32.6,1994,1999
1999-06-03,Junio,3,31.7,30.7,1999,2001
2018-06-04,Junio,4,29.7,28.6,2018,1980
2022-06-05,Junio,5,33.5,30.5,2022,1966
1997-06-06,Junio,6,32.5,31.8,1997,1958
1964-06-07,Junio,7,31.6,31.0,1964,1952
2015-06-08,Junio,8,31.0,30.4,2015,1955
