fecha,maxima,minima
1993-03-01,8.4,-2.4
2004-03-02,12.6,-2
1993-03-03,15.6,-1.8
1958-03-04,16.9,0
2005-03-05,17.4,-1.6
1971-03-06,15,-2
1971-03-07,14,-1
1965-03-08,11.8,-2.8
2005-03-09,20.6,-2.8
1971-03-10,14.7,-2.3
1984-03-11,14.8,-1.4
1984-03-12,15.4,-2.6
2010-03-13,14.6,1.3
1985-03-14,18.2,-0.6
1972-03-15,14,0.4
1980-03-16,15,-0.6
1973-03-17,15.2,-1.4
1981-03-18,20,-0.4
1973-03-19,20.2,0
1966-03-20,15.8,2.4
2012-03-21,17.2,2.1
2012-03-22,21.5,0.1
1980-03-23,15.8,1.4
1963-03-24,14,1.6
1971-03-25,20.4,1.2
1993-03-26,20,1.6
1993-03-27,21.8,-0.5
1990-03-28,19.6,0.6
1985-03-29,19.8,-0.2
1969-03-30,15.6,0
1969-03-31,18.6,1.4
1975-04-01,15.6,1.4
1967-04-02,20,1
1966-04-03,19,0.4
1967-04-04,26.6,1.4
1970-04-05,19.4,3.4
1975-04-06,16.6,0
1966-04-07,18.8,1
1986-04-08,12.8,1.6
1986-04-09,16,1.6
1967-04-10,15.6,2
1973-04-11,18.4,-0.2
1978-04-12,17.6,2
1986-04-13,17,-1.2
1958-04-14,14.9,2.8
1957-04-15,20.8,0
1980-04-16,19.2,4.2
1994-04-17,19.8,2.8
1994-04-18,18.6,3
1960-04-19,20.3,4.5
1986-04-20,18.8,5.4
1990-04-21,17.5,4
1995-04-22,16.4,2
1985-04-23,16.2,3.8
1970-04-24,26.2,0.6
1959-04-25,23.6,4.6
1981-04-26,16.6,3.4
1961-04-27,25,3
1972-04-28,25.6,3.2
1970-04-29,20.4,4.6
1970-04-30,24.8,3
1959-05-01,21.5,4
1983-05-02,20,5
1977-05-03,18.4,5
1967-05-04,19.6,4
1975-05-05,21.8,4
1975-05-06,21,4.6
1968-05-07,20,4
1975-05-08,21.6,5
1968-05-09,19.7,5.5
1970-05-10,19.6,4.8
1985-05-11,22.4,6.4
1985-05-12,23.8,6.4
1966-05-13,20,6
1972-05-14,20,5.2
1983-05-15,19.6,6.2
1985-05-16,22.8,7.2
1972-05-17,20.6,6
1972-05-18,21.4,5.4
1984-05-19,18,5.4
1972-05-20,22.8,6
1983-05-21,17.4,7
1983-05-22,21.6,6.4
1984-05-23,19.8,7.4
1979-05-24,22.8,7.2
1971-05-25,19.8,6.4
1958-05-26,20.2,5.8
1958-05-27,22.8,4.7
