fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1984-06-01,Junio,1,11.4,12.7,1984,1967
1984-06-02,Junio,2,11.8,11.9,1984,1962
1957-06-03,Junio,3,11.7,12.2,1957,1954
1968-06-04,Junio,4,11.1,11.6,1968,1953
1953-06-05,Junio,5,11.4,11.4,1953,1976
1953-06-06,Junio,6,10,11.2,1953,1976
1984-06-07,Junio,7,10.2,10.6,1984,1953
1984-06-08,Junio,8,12,12.4,1984,1985
1992-06-09,Junio,9,12.2,12.6,1992,1984
1992-06-10,Junio,10,11.2,11.7,1992,1962
1956-06-11,Junio,11,9.8,11,1956,1992
2019-06-12,Junio,12,11.8,12.4,2019,1953
1994-06-13,Junio,13,12.4,12.6,1994,1972
1977-06-14,Junio,14,13,13.2,1977,1972
1972-06-15,Junio,15,12.4,13,1972,1977
1977-06-16,Junio,16,12.2,12.5,1977,1953
1971-06-17,Junio,17,13.6,13.8,1971,1977
1978-06-18,Junio,18,12.2,13.4,1978,1979
1991-06-19,Junio,19,12.2,12.4,1991,1978
1978-06-20,Junio,20,13.2,13.2,1978,1983
1978-06-21,Junio,21,13,13.8,1978,1977
1973-06-22,Junio,22,13.2,14.2,1973,1977
1977-06-23,Junio,23,12,15.6,1977,1981
1969-06-24,Junio,24,14.2,14.2,1969,1977
1969-06-25,Junio,25,14.4,14.4,1969,1977
1978-06-26,Junio,26,14.4,14.8,1978,1981
1978-06-27,Junio,27,11.2,14.6,1978,1980
1980-06-28,Junio,28,12.6,13.2,1980,1978
1997-06-29,Junio,29,13.4,14.4,1997,1978
1997-06-30,Junio,30,14,15.2,1997,1977
1977-07-01,Julio,1,14.4,14.6,1977,1981
1978-07-02,Julio,2,14,14.6,1978,1981
1977-07-03,Julio,3,15,15,1977,1978
1978-07-04,Julio,4,15.2,16,1978,1983
1995-07-05,Julio,5,15,15.4,1995,1997
1988-07-06,Julio,6,14.8,16.2,1988,1976
1978-07-07,Julio,7,14.6,15.8,1978,1992
1978-07-08,Julio,8,14.2,16,1978,1996
1978-07-09,Julio,9,14.8,15,1978,1980
1980-07-10,Julio,10,12,15,1980,1978
1980-07-11,Julio,11,13.2,16.2,1980,1953
1980-07-12,Julio,12,13.2,16,1980,1972
1980-07-13,Julio,13,13.6,16.8,1980,1972
1980-07-14,Julio,14,14.6,15.8,1980,1978
1977-07-15,Julio,15,15.6,16.4,1977,1980
1977-07-16,Julio,16,14.2,17,1977,1980
1980-07-17,Julio,17,14.8,16.2,1980,1977
1958-07-18,Julio,18,15.3,16.2,1958,1980
1966-07-19,Julio,19,16.3,16.6,1966,1980
1980-07-20,Julio,20,15.6,15.8,1980,1981
1981-07-21,Julio,21,15,16.8,1981,1966
1981-07-22,Julio,22,16.4,17.4,1981,1993
1957-07-23,Julio,23,16,18,1957,1976
1981-07-24,Julio,24,16.4,16.9,1981,1956
1981-07-25,Julio,25,12.6,17.2,1981,1980
1981-07-26,Julio,26,15.4,17.2,1981,1980
1981-07-27,Julio,27,16.2,16.4,1981,1977
1981-07-28,Julio,28,16.4,16.8,1981,1977
1977-07-29,Julio,29,15.2,16.4,1977,1973
1977-07-30,Julio,30,12,16.8,1977,1973
1977-07-31,Julio,31,13.4,16.6,1977,1973
1977-08-01,Agosto,1,15.8,16.6,1977,1973
1977-08-02,Agosto,2,16,16.6,1977,1972
1998-08-03,Agosto,3,14.6,16.4,1998,1972
1972-08-04,Agosto,4,16,16.2,1972,1977
1977-08-05,Agosto,5,17,18,1977,1984
1977-08-06,Agosto,6,16.2,17.4,1977,1985
1985-08-07,Agosto,7,15,16.1,1985,1955
1978-08-08,Agosto,8,13.4,15.2,1978,1985
1984-08-09,Agosto,9,16.4,16.6,1984,1978
2017-08-10,Agosto,10,15.7,16.4,2017,1984
1968-08-11,Agosto,11,16.4,16.4,1968,2002
1968-08-12,Agosto,12,17,17.2,1968,1984
2010-08-13,Agosto,13,17.1,17.6,2010,1978
2010-08-14,Agosto,14,17,17.1,2010,1955
1954-08-15,Agosto,15,17.6,17.6,1954,1981
1979-08-16,Agosto,16,16.8,17,1979,1981
1979-08-17,Agosto,17,16.8,17.2,1979,1972
1963-08-18,Agosto,18,15.6,17.4,1963,1972
1974-08-19,Agosto,19,15.2,16,1974,1977
1972-08-20,Agosto,20,15.6,16.4,1972,1974
1977-08-21,Agosto,21,15.4,16.6,1977,1972
1954-08-22,Agosto,22,14.1,14.2,1954,1977
1977-08-23,Agosto,23,12.2,15.6,1977,1954
1977-08-24,Agosto,24,15,15.6,1977,1965
1977-08-25,Agosto,25,16,16.2,1977,1969
1976-08-26,Agosto,26,15.4,16.6,1976,1954
1954-08-27,Agosto,27,15.6,15.6,1954,1985
1963-08-28,Agosto,28,14.3,14.8,1963,1981
1968-08-29,Agosto,29,15.2,15.4,1968,1996
1977-08-30,Agosto,30,14.6,15.4,1977,1969
1977-08-31,Agosto,31,13.8,15.7,1977,1969
1965-09-01,Septiembre,1,15.4,15.6,1965,1969
1965-09-02,Septiembre,2,13.0,14.0,1965,1982
1965-09-03,Septiembre,3,12.8,14.5,1965,1956
1965-09-04,Septiembre,4,14.2,15.0,1965,1976
1976-09-05,Septiembre,5,15.2,15.6,1976,1963
1965-09-06,Septiembre,6,14.7,15.6,1965,1989
1960-09-07,Septiembre,7,15.0,15.2,1960,1972
1963-09-08,Septiembre,8,13.4,16.0,1963,1977
1969-09-09,Septiembre,9,14.8,15.4,1969,1963
1965-09-10,Septiembre,10,14.8,15.0,1965,1977
1965-09-11,Septiembre,11,13.0,15.0,1965,1989
1963-09-12,Septiembre,12,14.5,14.6,1963,1969
1996-09-13,Septiembre,13,13.0,13.2,1996,1976
1969-09-14,Septiembre,14,13.4,13.6,1969,1976
1972-09-15,Septiembre,15,12.4,13.2,1972,1988
