fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1971-01-01,Enero,1,-5.2,-3.6,1971,1969
1971-01-02,Enero,2,-4.2,-2.8,1971,1954
1971-01-03,Enero,3,-1.9,-1.4,1971,1989
1985-01-04,Enero,4,-2.4,-1.4,1985,1995
1985-01-05,Enero,5,-5.6,-2.5,1985,1954
1985-01-06,Enero,6,-10,-2,1985,1954
1985-01-07,Enero,7,-5,-2.5,1985,2009
1985-01-08,Enero,8,-7.4,-2.6,1985,2009
1985-01-09,Enero,9,-6.6,-3.6,1985,1967
1967-01-10,Enero,10,-5,-2.4,1967,1960
1960-01-11,Enero,11,-6.1,-4.8,1960,1985
1985-01-12,Enero,12,-5,-3.8,1985,1987
1963-01-13,Enero,13,-6,-4.6,1963,1980
1963-01-14,Enero,14,-7.8,-7.2,1963,1985
1985-01-15,Enero,15,-8,-5.9,1985,1963
1985-01-16,Enero,16,-6.6,-5.1,1985,1960
1957-01-17,Enero,17,-4.4,-3.9,1957,1966
1957-01-18,Enero,18,-4,-2.9,1957,2017
1957-01-19,Enero,19,-2.6,-2.6,1957,1994
1950-01-20,Enero,20,-2.2,-1.7,1950,2017
1950-01-21,Enero,21,-2.1,-1.4,1950,1987
1963-01-22,Enero,22,-2.9,-2.6,1963,1992
1963-01-23,Enero,23,-3.4,-3,1963,1992
2011-01-24,Enero,24,-1.6,-1,2011,1972
2007-01-25,Enero,25,-2.2,-1.5,2007,2005
2007-01-26,Enero,26,-3.2,-1.8,2007,1998
1963-01-27,Enero,27,-3,-3,1963,2007
1963-01-28,Enero,28,-3,-1.8,1963,2005
1963-01-29,Enero,29,-2.5,-1.4,1963,1991
1963-01-30,Enero,30,-1,-0.5,1963,2005
1954-01-31,Enero,31,-6.2,-3,1954,1962
1954-02-01,Febrero,1,-9.3,-5,1954,1963
1956-02-02,Febrero,2,-7.4,-6.8,1956,1954
1956-02-03,Febrero,3,-12.1,-8,1956,1954
1954-02-04,Febrero,4,-6.8,-5.1,1954,1956
1954-02-05,Febrero,5,-4.3,-4,1954,1956
2015-02-06,Febrero,6,-2,-1.4,2015,1969
1964-02-07,Febrero,7,-3,-1,1964,2015
2012-02-08,Febrero,8,-5.3,-2.2,2012,1969
1969-02-09,Febrero,9,-3.5,-3.5,1969,2012
1956-02-10,Febrero,10,-10.4,-4.8,1956,1986
1956-02-11,Febrero,11,-9.7,-5.8,1956,1986
1956-02-12,Febrero,12,-10,-5.2,1956,2012
1956-02-13,Febrero,13,-7.5,-4.4,1956,1983
1953-02-14,Febrero,14,-2,-1.6,1953,1999
1956-02-15,Febrero,15,-3.8,-2.6,1956,2010
1956-02-16,Febrero,16,-4.2,-3,1956,1969
1956-02-17,Febrero,17,-2.7,-1.5,1956,1953
2003-02-18,Febrero,18,-4,-2.6,2003,1965
1956-02-19,Febrero,19,-4.4,-2,1956,1987
1956-02-20,Febrero,20,-4.3,-3,1956,1987
1956-02-21,Febrero,21,-3.6,-3,1956,1996
1996-02-22,Febrero,22,-3.2,-0.7,1996,1956
2013-02-23,Febrero,23,-3,-0.6,2013,2005
1993-02-24,Febrero,24,-1.4,-0.4,1993,2004
1993-02-25,Febrero,25,-2.4,-0.5,1993,2013
