fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-12-01,Diciembre,1,-6.4,-5,1980,1969
1980-12-02,Diciembre,2,-7.4,-4.1,1980,2013
1973-12-03,Diciembre,3,-7.2,-3.3,1973,2017
1973-12-04,Diciembre,4,-5.4,-2.6,1973,2010
1990-12-05,Diciembre,5,-2.6,-2.4,1990,2017
1957-12-06,Diciembre,6,-4.3,-4,1957,1990
1956-12-07,Diciembre,7,-5.1,-4.9,1956,1950
1956-12-08,Diciembre,8,-6,-3.4,1956,1962
1980-12-09,Diciembre,9,-3.6,-3.4,1980,1956
1969-12-10,Diciembre,10,-4.4,-3.9,1969,2013
1969-12-11,Diciembre,11,-4.2,-2.6,1969,1967
1967-12-12,Diciembre,12,-5.4,-2.6,1967,2007
2005-12-13,Diciembre,13,-4.8,-3,2005,1967
2001-12-14,Diciembre,14,-5.4,-5.2,2001,1971
2001-12-15,Diciembre,15,-8,-5.2,2001,1963
2001-12-16,Diciembre,16,-8.8,-6.2,2001,2010
2001-12-17,Diciembre,17,-10.8,-7.4,2001,1963
1963-12-18,Diciembre,18,-6.8,-4.8,1963,2001
1961-12-19,Diciembre,19,-4.6,-4.6,1961,1967
2009-12-20,Diciembre,20,-5.6,-4.8,2009,2001
1985-12-21,Diciembre,21,-6.2,-5.2,1985,1979
1985-12-22,Diciembre,22,-6.4,-6.2,1985,1978
2005-12-23,Diciembre,23,-7.4,-6.6,2005,1963
2005-12-24,Diciembre,24,-8.2,-7.8,2005,1962
1962-12-25,Diciembre,25,-10,-7.4,1962,2001
1994-12-26,Diciembre,26,-7.4,-6.6,1994,1962
1962-12-27,Diciembre,27,-8.6,-5.9,1962,2005
1988-12-28,Diciembre,28,-6.2,-5.9,1988,2005
1950-12-29,Diciembre,29,-6.5,-5,1950,1957
1950-12-30,Diciembre,30,-6,-6,1950,1970
1985-12-31,Diciembre,31,-6,-5.8,1985,1969
2005-03-01,Marzo,1,-8.6,-8.6,2005,2005
1970-03-02,Marzo,2,-5.6,-5.2,1970,1951
1950-03-03,Marzo,3,-5.1,-2.6,1950,2004
1958-03-04,Marzo,4,-3.5,-3.5,1958,2005
1971-03-05,Marzo,5,-6.6,-3.1,1971,2005
1971-03-06,Marzo,6,-7.2,-2.9,1971,1955
1971-03-07,Marzo,7,-5.6,-5.2,1971,1964
1971-03-08,Marzo,8,-6.6,-6.2,1971,1964
1955-03-09,Marzo,9,-4.2,-4.2,1955,2005
1955-03-10,Marzo,10,-4.2,-4,1955,1984
1955-03-11,Marzo,11,-6,-5,1955,1984
1958-03-12,Marzo,12,-4.3,-3.8,1958,1984
2010-03-13,Marzo,13,-2.6,-2.4,2010,1985
1973-03-14,Marzo,14,-2.2,-2.2,1973,2010
2010-03-15,Marzo,15,-2.6,-2.4,2010,1973
1987-03-16,Marzo,16,-2,-1.8,1987,1979
1962-03-17,Marzo,17,-1.6,-1.6,1962,1968
1996-03-18,Marzo,18,-0.6,-0.4,1996,1975
1975-03-19,Marzo,19,-3.4,-1.9,1975,1955
1975-03-20,Marzo,20,-2.2,-2,1975,2007
2007-03-21,Marzo,21,-1.9,-0.6,2007,1966
2007-03-22,Marzo,22,-2,-1.5,2007,2018
1962-03-23,Marzo,23,-1,-0.4,1962,1963
1963-03-24,Marzo,24,-2.2,-2,1963,1962
1963-03-25,Marzo,25,-2.2,-1.5,1963,1992
1951-03-26,Marzo,26,-2.7,-2,1951,1969
2004-03-27,Marzo,27,-1.8,-1.4,2004,1969
2004-03-28,Marzo,28,-0.2,0.2,2004,1970
1971-03-29,Marzo,29,-2.8,-2,1971,1969
1977-03-30,Marzo,30,-2.6,-2.2,1977,1969
1977-03-31,Marzo,31,-2.8,-1.2,1977,1951
1975-04-01,Abril,1,-1.2,-0.8,1975,1955
1975-04-02,Abril,2,-1.8,-0.6,1975,1967
1970-04-03,Abril,3,-2.8,-0.2,1970,1996
1996-04-04,Abril,4,-2,-0.8,1996,1952
1952-04-05,Abril,5,-1.5,-1.5,1952,1989
1975-04-06,Abril,6,-2.2,-1.6,1975,1963
1963-04-07,Abril,7,-0.6,-0.2,1963,1968
1986-04-08,Abril,8,-1,0,1986,1975
1977-04-09,Abril,9,-1.2,-0.5,1977,2005
1975-04-10,Abril,10,-1.4,-0.8,1975,1973
1973-04-11,Abril,11,-1.8,-1.3,1973,2006
1978-04-12,Abril,12,-1.8,-1,1978,2006
1958-04-13,Abril,13,-2,-1.6,1958,1986
1994-04-14,Abril,14,-0.8,-0.7,1994,1957
1962-04-15,Abril,15,-0.6,0.8,1962,1994
1978-04-16,Abril,16,-2.6,-0.4,1978,1999
2012-04-17,Abril,17,0.1,0.3,2012,1953
1955-04-18,Abril,18,0,0.6,1955,1986
1954-04-19,Abril,19,-0.8,1.2,1954,1979
1954-04-20,Abril,20,-0.2,-0.2,1954,2001
1991-04-21,Abril,21,-3,0,1991,1972
1989-04-22,Abril,22,0.2,0.4,1989,1990
1991-04-23,Abril,23,1.2,1.6,1991,1995
1976-04-24,Abril,24,0,2.2,1976,1973
1993-04-25,Abril,25,0.2,0.4,1993,1976
1972-04-26,Abril,26,-0.6,0.6,1972,1986
1981-04-27,Abril,27,0,0.4,1981,1989
2017-04-28,Abril,28,-0.1,1.2,2017,1970
1970-04-29,Abril,29,-0.6,-0.5,1970,1951
1951-04-30,Abril,30,0.3,1.4,1951,1979
2001-05-01,Mayo,1,1,1.8,2001,1977
2016-05-02,Mayo,2,1.2,1.8,2016,1974
1967-05-03,Mayo,3,0.4,2.4,1967,1979
1970-05-04,Mayo,4,0.6,0.8,1970,1954
1985-05-05,Mayo,5,2.6,2.8,1985,1972
2019-05-06,Mayo,6,1.5,1.6,2019,1991
1997-05-07,Mayo,7,1.4,2.4,1997,1982
1997-05-08,Mayo,8,1.2,2,1997,1982
1951-05-09,Mayo,9,1.4,3.3,1951,2006
1981-05-10,Mayo,10,3,3.9,1981,1951
1985-05-11,Mayo,11,3,3.6,1985,1966
1965-05-12,Mayo,12,2.8,4.2,1965,1984
1996-05-13,Mayo,13,2.6,2.8,1996,1984
1995-05-14,Mayo,14,1.4,2.8,1995,1972
1972-05-15,Mayo,15,3.2,4,1972,1962
1951-05-16,Mayo,16,2.1,2.2,1951,2013
1977-05-17,Mayo,17,3.6,4.2,1977,1984
1972-05-18,Mayo,18,3.2,4,1972,2013
1951-05-19,Mayo,19,1.1,2.8,1951,1954
1954-05-20,Mayo,20,2.4,3.4,1954,1969
1993-05-21,Mayo,21,4,4.2,1993,1983
1968-05-22,Mayo,22,3.4,4.2,1968,1980
1984-05-23,Mayo,23,4,4.2,1984,1963
1963-05-24,Mayo,24,2.8,3.6,1963,2006
2013-05-25,Mayo,25,4.5,4.8,2013,1971
1975-05-26,Mayo,26,3.4,3.8,1975,2013
1984-05-27,Mayo,27,4.8,6.4,1984,1971
1958-05-28,Mayo,28,2.2,5.4,1958,2007
2013-05-29,Mayo,29,2.8,5.2,2013,1965
1980-05-30,Mayo,30,4.2,4.6,1980,2013
1986-05-31,Mayo,31,6.2,6.6,1986,1965
1967-06-01,Junio,1,6,6.8,1967,1965
1962-06-02,Junio,2,5,6.2,1962,1969
1975-06-03,Junio,3,3.6,4.6,1975,1962
1953-06-04,Junio,4,4.7,6,1953,1989
1992-06-05,Junio,5,5.2,6.4,1992,1965
1969-06-06,Junio,6,5,5.6,1969,1972
1965-06-07,Junio,7,6,6.2,1965,1986
1965-06-08,Junio,8,5.2,6.8,1965,1972
1985-06-09,Junio,9,4.8,5.2,1985,1987
1961-06-10,Junio,10,5.8,6.6,1961,1965
1971-06-11,Junio,11,4.6,6.2,1971,1972
1951-06-12,Junio,12,4.5,4.8,1951,1972
1957-06-13,Junio,13,6.7,7,1957,1977
1977-06-14,Junio,14,6.4,7.2,1977,1954
1956-06-15,Junio,15,6.3,7.2,1956,1954
1978-06-16,Junio,16,5.8,6,1978,1987
1978-06-17,Junio,17,4.4,5.4,1978,1987
1971-06-18,Junio,18,6.2,6.4,1971,1991
1991-06-19,Junio,19,6.2,7.4,1991,1969
1992-06-20,Junio,20,7.4,8.2,1992,1983
2010-06-21,Junio,21,7,9,2010,2009
1973-06-22,Junio,22,8.4,9.2,1973,2013
1973-06-23,Junio,23,8.4,8.6,1973,1984
1969-06-24,Junio,24,7.4,8,1969,2013
1978-06-25,Junio,25,7.4,8.4,1978,1969
1951-06-26,Junio,26,6.9,9,1951,1996
1978-06-27,Junio,27,7.2,8.2,1978,1980
1980-06-28,Junio,28,7,7.4,1980,1978
1981-06-29,Junio,29,6.6,7.7,1981,1954
1997-06-30,Junio,30,8.6,9.2,1997,1963
1954-07-01,Julio,1,7.7,9.6,1954,1959
1954-07-02,Julio,2,7.3,9,1954,2012
1954-07-03,Julio,3,7.7,8.5,1954,1997
2020-07-04,Julio,4,9.9,10.4,2020,2003
1978-07-05,Julio,5,7.8,9.2,1978,1997
1997-07-06,Julio,6,9,9.4,1997,1962
1978-07-07,Julio,7,9.4,10,1978,1990
1954-07-08,Julio,8,7.6,8.2,1954,1996
1996-07-09,Julio,9,7.6,9.4,1996,2004
1980-07-10,Julio,10,9.2,9.4,1980,1996
1993-07-11,Julio,11,8.2,8.4,1993,1972
2004-07-12,Julio,12,9.4,9.6,2004,1980
1956-07-13,Julio,13,7.8,8.6,1956,1980
1954-07-14,Julio,14,9.1,10.3,1954,2008
1988-07-15,Julio,15,9.8,10,1988,1998
1970-07-16,Julio,16,9.4,9.4,1970,1988
1958-07-17,Julio,17,6.9,9.2,1958,1977
1974-07-18,Julio,18,10,10.4,1974,2011
1966-07-19,Julio,19,9.6,9.8,1966,1974
1966-07-20,Julio,20,9,9.8,1966,1978
1960-07-21,Julio,21,9.6,10.4,1960,1978
1993-07-22,Julio,22,11.2,11.2,1993,2008
2011-07-23,Julio,23,9.6,10.1,2011,1957
1979-07-24,Julio,24,9.6,10.3,1979,1951
1951-07-25,Julio,25,10,10.2,1951,1981
1951-07-26,Julio,26,9.5,10.8,1951,1981
1965-07-27,Julio,27,9,10.2,1965,1977
1977-07-28,Julio,28,10.8,11.4,1977,1966
1977-07-29,Julio,29,9.6,10.4,1977,1966
1951-07-30,Julio,30,9.4,10,1951,1969
1954-07-31,Julio,31,9.7,10.4,1954,1953
1960-08-01,Agosto,1,9.4,9.4,1960,1977
1960-08-02,Agosto,2,10,10.2,1960,1977
1972-08-03,Agosto,3,9.2,11,1972,1951
1972-08-04,Agosto,4,10.8,11.4,1972,1988
1967-08-05,Agosto,5,10.6,11.2,1967,1956
1984-08-06,Agosto,6,10,10.2,1984,1967
1985-08-07,Agosto,7,10,11.4,1985,1971
1951-08-08,Agosto,8,10,10.4,1951,1963
2011-08-09,Agosto,9,9.6,10.4,2011,2007
1951-08-10,Agosto,10,10,10.3,1951,2017
2016-08-11,Agosto,11,9.4,10.4,2016,2002
2016-08-12,Agosto,12,10.9,11.8,2016,1959
1961-08-13,Agosto,13,10,10.2,1961,1960
1967-08-14,Agosto,14,10,10.4,1967,1961
1954-08-15,Agosto,15,10.4,10.6,1954,1961
2010-08-16,Agosto,16,9.6,9.7,2010,1954
1966-08-17,Agosto,17,10,10.4,1966,2007
1963-08-18,Agosto,18,8.8,10.2,1963,2006
1963-08-19,Agosto,19,9,10.4,1963,1979
1972-08-20,Agosto,20,9.6,11,1972,1958
1972-08-21,Agosto,21,8.8,9.2,1972,1961
1950-08-22,Agosto,22,8.6,9.6,1950,1977
1954-08-23,Agosto,23,8.4,9.2,1954,1965
1979-08-24,Agosto,24,9.2,9.3,1979,2005
1979-08-25,Agosto,25,9.4,10.4,1979,1969
1965-08-26,Agosto,26,9.6,10,1965,1967
1954-08-27,Agosto,27,8.4,10,1954,1985
1996-08-28,Agosto,28,8.6,9.6,1996,1974
1986-08-29,Agosto,29,7.8,9,1986,1993
1986-08-30,Agosto,30,7,7.8,1986,1956
2020-08-31,Agosto,31,9,9.2,2020,1990
1965-09-01,Septiembre,1,9.2,9.2,1965,1992
1965-09-02,Septiembre,2,6,7.6,1965,1956
1956-09-03,Septiembre,3,7,8.2,1956,1965
1976-09-04,Septiembre,4,7.6,8.6,1976,1989
1976-09-05,Septiembre,5,8.6,8.9,1976,2015
1971-09-06,Septiembre,6,7.4,8.8,1971,1984
1963-09-07,Septiembre,7,8.4,8.8,1963,2019
1963-09-08,Septiembre,8,7,8.6,1963,1967
1952-09-09,Septiembre,9,6,8.2,1952,1967
1965-09-10,Septiembre,10,8.8,9,1965,1967
1965-09-11,Septiembre,11,5.6,5.6,1965,1972
