fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1962-12-01,Diciembre,1,-2,0.8,1962,1977
1962-12-02,Diciembre,2,-3.6,1,1962,1990
1962-12-03,Diciembre,3,-4.6,1,1962,1973
1962-12-04,Diciembre,4,-5,0.2,1962,1983
1962-12-05,Diciembre,5,-3,-1.4,1962,1983
1962-12-06,Diciembre,6,-3,-0.4,1962,1983
1962-12-07,Diciembre,7,-2.4,-1.2,1962,1990
1983-12-08,Diciembre,8,-2.8,-2,1983,1962
1980-12-09,Diciembre,9,-2.4,0,1980,1962
1972-12-10,Diciembre,10,0,0,1972,1973
1972-12-11,Diciembre,11,0,1,1972,1967
1971-12-12,Diciembre,12,-0.6,0,1971,2001
1971-12-13,Diciembre,13,-1.6,0,1971,1964
1971-12-14,Diciembre,14,-1,-0.6,1971,2007
1971-12-15,Diciembre,15,-2,-1.2,1971,2001
1961-12-16,Diciembre,16,-2,-1.6,1961,1990
1961-12-17,Diciembre,17,-2,-1.6,1961,2007
1970-12-18,Diciembre,18,-3.6,-3,1970,1961
1961-12-19,Diciembre,19,-5,-3,1961,2001
1961-12-20,Diciembre,20,-5,-2.4,1961,1970
1961-12-21,Diciembre,21,-4,-2,1961,1963
1990-12-22,Diciembre,22,-2.2,-1.2,1990,2005
2005-12-23,Diciembre,23,-2.5,-2,2005,1963
1963-12-24,Diciembre,24,-5,-2.8,1963,2001
2001-12-25,Diciembre,25,-5.2,-5,2001,1962
2005-12-26,Diciembre,26,-1.1,-1,2005,1991
1996-12-27,Diciembre,27,-2.2,-2,1996,1962
1962-12-28,Diciembre,28,-4,-0.5,1962,1996
1980-12-29,Diciembre,29,-1.2,-1,1980,1973
1980-12-30,Diciembre,30,-4,-1.8,1980,1982
1980-12-31,Diciembre,31,-2.6,-2,1980,1982
2016-11-01,Noviembre,1,5.3,5.8,2016,1961
1974-11-02,Noviembre,2,3.6,4,1974,1961
1974-11-03,Noviembre,3,3.6,4,1974,1969
1971-11-04,Noviembre,4,3.2,3.8,1971,1986
1964-11-05,Noviembre,5,1,4.2,1964,1990
1995-11-06,Noviembre,6,2,3,1995,1980
1961-11-07,Noviembre,7,2,3,1961,1986
1973-11-08,Noviembre,8,1.6,2,1973,1981
1973-11-09,Noviembre,9,0,1.4,1973,1981
1973-11-10,Noviembre,10,1,2,1973,1981
1981-11-11,Noviembre,11,0,0.2,1981,1974
1966-11-12,Noviembre,12,1.8,2.8,1966,1981
1966-11-13,Noviembre,13,3,3,1966,1973
1985-11-14,Noviembre,14,1,2,1985,1966
1967-11-15,Noviembre,15,1,2,1967,1981
2007-11-16,Noviembre,16,1.2,2,2007,1973
2007-11-17,Noviembre,17,-2,0.5,2007,1973
2007-11-18,Noviembre,18,-1.8,0,2007,1973
1964-11-19,Noviembre,19,0,0,1964,1967
1973-11-20,Noviembre,20,0,0.6,1973,1969
1973-11-21,Noviembre,21,0,0.4,1973,1998
1998-11-22,Noviembre,22,-2.3,-0.8,1998,1988
1988-11-23,Noviembre,23,-2,0,1988,1973
1965-11-24,Noviembre,24,-1.2,0,1965,1978
1988-11-25,Noviembre,25,-2,0.2,1988,1964
1999-11-26,Noviembre,26,1.6,2,1999,1972
1988-11-27,Noviembre,27,0.6,0.9,1988,1977
1988-11-28,Noviembre,28,-0.4,0,1988,1979
2010-11-29,Noviembre,29,0.4,0.6,2010,1986
1962-11-30,Noviembre,30,-2,1.4,1962,1986
1989-01-01,Enero,1,-3,-1.4,1989,2008
1964-01-02,Enero,2,-2,-1,1964,1992
1973-01-03,Enero,3,-3,-2.4,1973,1989
1971-01-04,Enero,4,-2.4,-1.6,1971,1964
1964-01-05,Enero,5,-2,-2,1964,1972
1985-01-06,Enero,6,-2.6,-1,1985,1992
1985-01-07,Enero,7,-2.6,-2,1985,1973
2017-01-08,Enero,8,-1.3,-0.6,2017,2021
1964-01-09,Enero,9,-3,-2.6,1964,1985
1975-01-10,Enero,10,-1.5,-1,1975,1965
1964-01-11,Enero,11,-2.6,-1.6,1964,2009
1985-01-12,Enero,12,-1.8,-1.5,1985,2009
1990-01-13,Enero,13,0.2,0.6,1990,1987
