fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2009-04-01,Abril,1,-3.4,-2,2009,1975
1993-04-02,Abril,2,-4,-2,1993,1952
1970-04-03,Abril,3,-4.4,-2,1970,1989
2019-04-04,Abril,4,-3.5,-3,2019,1970
1989-04-05,Abril,5,-2.6,-2.1,1989,2003
2013-04-06,Abril,6,-3.3,-3,2013,1992
1986-04-07,Abril,7,-2.8,-2.6,1986,1980
1986-04-08,Abril,8,-2.6,-1.4,1986,1973
1977-04-09,Abril,9,-3.6,-3.4,1977,1986
1973-04-10,Abril,10,-3.8,-3.4,1973,1975
1977-04-11,Abril,11,-3.6,-3.4,1977,1973
1994-04-12,Abril,12,-4,-3.2,1994,1986
1986-04-13,Abril,13,-5.2,-1.2,1986,1994
1994-04-14,Abril,14,-3.2,-2.7,1994,1957
1957-04-15,Abril,15,-3.3,-3.2,1957,1982
1994-04-16,Abril,16,-5.2,-1.2,1994,1993
1957-04-17,Abril,17,-3.5,-3,1957,1994
1954-04-18,Abril,18,-3.1,-2.6,1954,1960
1954-04-19,Abril,19,-3.1,-1.6,1954,1960
2001-04-20,Abril,20,-1.6,-1.5,2001,1991
1991-04-21,Abril,21,-3.2,-2.5,1991,1990
1965-04-22,Abril,22,-2,-1,1965,1980
1995-04-23,Abril,23,-1.6,-0.2,1995,1965
1965-04-24,Abril,24,-1,-1,1965,1976
1976-04-25,Abril,25,-1.8,-0.8,1976,1981
1981-04-26,Abril,26,-2.4,-1.6,1981,1991
1972-04-27,Abril,27,-3.8,-3.2,1972,1989
2013-04-28,Abril,28,-2.8,-2.2,2013,1970
1970-04-29,Abril,29,-3.6,0,1970,1956
2001-04-30,Abril,30,-0.4,0.2,2001,1979
2016-05-01,Mayo,1,0,0.4,2016,2017
1991-05-02,Mayo,2,-0.5,-0.5,1991,2016
1967-05-03,Mayo,3,-1.4,0,1967,1963
1992-05-04,Mayo,4,-1.2,-0.3,1992,2002
1975-05-05,Mayo,5,0.4,0.7,1975,1991
1991-05-06,Mayo,6,-3,-1.4,1991,2010
1982-05-07,Mayo,7,-1,0,1982,1985
1997-05-08,Mayo,8,-1.7,-1,1997,2004
1982-05-09,Mayo,9,0.4,0.6,1982,1991
1951-05-10,Mayo,10,-2.3,0.2,1951,1984
1985-05-11,Mayo,11,0,0.6,1985,1984
1991-05-12,Mayo,12,-1.4,-0.4,1991,1984
1995-05-13,Mayo,13,-0.4,0.2,1995,2018
1972-05-14,Mayo,14,0.4,1.3,1972,2010
1962-05-15,Mayo,15,0,1.2,1962,1972
1972-05-16,Mayo,16,0.6,0.6,1972,1983
1967-05-17,Mayo,17,0,0.4,1967,1972
2013-05-18,Mayo,18,0.4,2.2,2013,1991
1991-05-19,Mayo,19,1.4,1.5,1991,1954
2015-05-20,Mayo,20,1,1.8,2015,2013
1962-05-21,Mayo,21,0.7,1.6,1962,1983
2015-05-22,Mayo,22,0.4,1,2015,1984
2015-05-23,Mayo,23,1.8,2.8,2015,1956
1983-05-24,Mayo,24,2,3,1983,1956
1957-05-25,Mayo,25,2,2,1957,1975
1971-05-26,Mayo,26,1.6,2.4,1971,1974
1984-05-27,Mayo,27,3.4,3.6,1984,2002
