fecha,maxima,minima
1970-03-01,12.4,1.6
1951-03-02,15.5,1
2004-03-03,16.2,1.6
1958-03-04,14.8,2
1953-03-05,18.4,2.4
1971-03-06,10.2,0.8
1971-03-07,7.4,1
1955-03-08,13.6,0.8
1955-03-09,12.4,0.9
1955-03-10,4.6,0.8
1955-03-11,11.8,1.3
1958-03-12,16.8,1.6
1985-03-13,14,3
1955-03-14,18.5,3.6
1962-03-15,15.2,2
1973-03-16,12.5,3.8
1966-03-17,17.4,4.2
1973-03-18,16.5,4
2003-03-19,17,4
1975-03-20,15,5.4
1971-03-21,16.8,4.6
2018-03-22,15.1,5.3
1966-03-23,18,5.5
1963-03-24,13.4,4
1963-03-25,14.4,4.4
1953-03-26,15.8,4.6
1951-03-27,18.4,5.2
2020-03-28,17.7,5.5
1971-03-29,14.6,4
1969-03-30,14.3,2.6
1977-03-31,15.6,3.4
1975-04-01,15.4,4.8
1955-04-02,17.6,4.6
1970-04-03,13.5,4.6
1951-04-04,18.2,4.5
1952-04-05,21,3.8
1963-04-06,16.8,4.8
1950-04-07,16.5,4.5
1986-04-08,13.8,5.6
1973-04-09,14.2,4.6
1958-04-10,16.7,4.5
1973-04-11,17.6,4
1951-04-12,17.4,5
1986-04-13,16.2,3
1958-04-14,15.7,4.6
1957-04-15,16.1,5.3
1950-04-16,19.5,5
1994-04-17,19.6,5
1958-04-18,19.3,4.5
1991-04-19,17.2,6.2
1954-04-20,16.2,6.4
1991-04-21,14.6,5.6
1965-04-22,20.2,6.4
1970-04-23,24.2,1
1995-04-24,16,6.2
1976-04-25,20.2,6.8
1972-04-26,13.8,7.4
1972-04-27,22.2,6.2
2013-04-28,11,7.2
1950-04-29,21.5,6
2013-04-30,17.5,8
1960-05-01,14.4,8
1960-05-02,18.4,6.6
1960-05-03,19.2,7.4
1977-05-04,20.2,7.4
1956-05-05,20.1,8
1991-05-06,19.6,7.7
1975-05-07,18.6,7.4
1970-05-08,19.2,8
1991-05-09,19,6
1951-05-10,15.5,7
1985-05-11,17,8
1985-05-12,17.2,8.2
1951-05-13,19,8.7
1951-05-14,19.4,9
1951-05-15,19,8.6
1951-05-16,18.7,9
1977-05-17,18.6,10
1963-05-18,22.4,9.6
1954-05-19,19.4,10
1954-05-20,19.4,9.4
1957-05-21,22.4,10.5
1983-05-22,20.2,10.2
1963-05-23,19.2,9.6
1956-05-24,21.6,10.6
1956-05-25,21.7,11
1971-05-26,21,10.8
1963-05-27,21.2,11.2
1957-05-28,20.6,11.2
1975-05-29,23.4,11.4
1957-05-30,25,10.9
1965-05-31,22.8,10.6
1967-06-01,21.8,11.8
1951-06-02,22,11.8
1957-06-03,26.1,10.8
1968-06-04,21.8,12
1962-06-05,20.2,12
1953-06-06,22.5,10.9
1984-06-07,25.6,10.6
1953-06-08,24.6,13.2
1956-06-09,22,10.4
1956-06-10,21,10.5
1956-06-11,21.6,8.5
1971-06-12,22.5,10.2
1957-06-13,24.4,11.2
1977-06-14,26.2,13.2
1959-06-15,24.5,13.8
1992-06-16,22.2,13.2
1971-06-17,22.5,13.4
1971-06-18,22.6,15
1956-06-19,24,13.3
1956-06-20,26.6,14
1978-06-21,26.2,14.6
1973-06-22,24,12.8
1977-06-23,22.4,13.8
1977-06-24,24.6,15.6
1969-06-25,25.6,15
1956-06-26,25.6,15.9
1978-06-27,23.6,14.8
1978-06-28,22.4,15
1957-06-29,27.4,15.3
1957-06-30,28.3,15.5
1959-07-01,26.4,15.4
1959-07-02,27.6,15
1959-07-03,29.5,15
1958-07-04,28.2,15.4
1971-07-05,25.6,16.2
1956-07-06,30.4,16.6
1978-07-07,23.8,15.8
1978-07-08,24.2,16.4
1965-07-09,26.2,16.2
1980-07-10,25,16.4
1969-07-11,25,15.6
1980-07-12,25.6,15.2
1972-07-13,27.4,16
1980-07-14,26.4,16.6
1956-07-15,33.8,16.5
1956-07-16,26.7,16.2
1958-07-17,25,16
1958-07-18,26.4,15.3
1958-07-19,26.7,15.5
1974-07-20,26,16
1981-07-21,27.2,17.4
1974-07-22,28.4,17.4
1957-07-23,26.5,14
1957-07-24,27.9,15
1957-07-25,28.6,15.9
1956-07-26,31,16
1956-07-27,29.2,17
1999-07-28,29.2,18
1977-07-29,23.2,17.4
1977-07-30,25.2,15
1977-07-31,29.6,15.4
1982-08-01,28.4,16.4
1972-08-02,23.5,17.4
1998-08-03,27.2,16.6
1998-08-04,29.4,17.4
1977-08-05,29,18
2000-08-06,28,17.4
1955-08-07,29.6,16.6
1985-08-08,26.8,17.2
1984-08-09,27.4,17.6
2017-08-10,26.9,16.3
2002-08-11,30.5,17
1959-08-12,28,17
2017-08-13,27.8,18.3
1950-08-14,29,18
1950-08-15,28.2,17.5
1954-08-16,28,15.6
1954-08-17,30.2,17.4
1963-08-18,25.2,17.2
1963-08-19,27,17.2
1958-08-20,28.2,15
1974-08-21,29.4,16.4
1954-08-22,29.5,15.2
1977-08-23,28.8,14.6
1965-08-24,27,14.6
1969-08-25,25.8,15.2
1954-08-26,27.6,14.2
1954-08-27,28.6,14.9
1975-08-28,28.2,16.6
1977-08-29,26,14.6
1956-08-30,25.9,14.9
1977-08-31,25,15
1950-09-01,29.5,16
1965-09-02,23.4,13.2
1965-09-03,24,12.4
1965-09-04,26,14.6
1956-09-05,27.7,15
1960-09-06,25.4,15.4
