fecha,maxima,minima
1993-01-01,14.8,0.8
1971-01-02,8,-1
1971-01-03,9.2,-2.6
1983-01-04,18,1.4
1951-01-05,15.7,0.6
1954-01-06,10.8,1.4
1993-01-07,16,1.2
1985-01-08,9.4,0.4
1985-01-09,11.2,-2.6
1985-01-10,13.6,-1
1960-01-11,10.8,-0.4
2019-01-12,15.2,0
1985-01-13,9.8,-0.8
1985-01-14,10.8,-1.8
1985-01-15,7,-2.2
1985-01-16,9.4,-2.4
1957-01-17,5.8,-0.8
1957-01-18,7.4,-0.4
1987-01-19,15.2,0.4
1987-01-20,15,0.8
1953-01-21,16.8,0.5
2011-01-22,12.5,-0.8
1994-01-23,14.6,1
1958-01-24,15,0.5
2000-01-25,12.6,1
1976-01-26,9.8,-0.4
2005-01-27,9.6,-1
2005-01-28,11.7,-2.2
2006-01-29,10.4,-1.4
1963-01-30,13.6,0.4
2005-01-31,13.2,-1.4
1981-02-01,15.4,-1.6
1954-02-02,7,-1.2
1963-02-03,15.2,-1.6
1956-02-04,12.2,-1.8
2012-02-05,12.4,-1.6
1956-02-06,15,-1
1954-02-07,12.4,0.4
2012-02-08,11.2,0
1960-02-09,14.6,0.3
1983-02-10,11.6,-0.4
1956-02-11,7.2,-4
1956-02-12,7.2,-4.6
1956-02-13,11,-2.4
1983-02-14,12,-1.8
1999-02-15,13.6,-0.6
1976-02-16,14,0.8
1965-02-17,16.2,0
2005-02-18,13.6,0.5
2005-02-19,14.5,0.5
1965-02-20,13.2,-0.6
1987-02-21,9.4,-0.4
1956-02-22,14.6,0.7
1987-02-23,14.2,1.8
1996-02-24,15.2,1.6
1993-02-25,15.4,0.8
2005-02-26,16,1
1988-02-27,11.6,0
1988-02-28,12.6,-0.4
1988-02-29,18.6,0.6
1951-03-01,16.8,2.5
2004-03-02,12.2,0.4
2004-03-03,16.6,0.4
1950-03-04,18,2.7
2005-03-05,18.5,1.4
1984-03-06,15.4,1.4
1984-03-07,17.2,2.4
2005-03-08,14.5,1
1965-03-09,17.6,1.2
1955-03-10,11,0.9
1955-03-11,14.8,-1
1984-03-12,15.4,0.2
1985-03-13,10.6,3.2
2010-03-14,14,2
1973-03-15,14.8,1.6
1973-03-16,15.4,1.6
1973-03-17,15.4,2.2
1973-03-18,15.2,1.6
1973-03-19,18.6,3.2
1966-03-20,18.8,4.2
2012-03-21,16.4,4.6
1956-03-22,19.8,5
1963-03-23,17.2,6
1971-03-24,16.8,4.4
1977-03-25,19.8,4.4
1963-03-26,21.4,3.6
1953-03-27,20.8,4.1
1961-03-28,23,4.2
1985-03-29,17.2,3.6
1969-03-30,17.2,1
1977-03-31,15.2,1.4
1969-04-01,20.4,2.6
1963-04-02,20.2,4.2
1963-04-03,19.8,4.2
1987-04-04,17.8,3
1988-04-05,18.4,4.8
1980-04-06,16.2,4
1975-04-07,20,4
