fecha,maxima,minima
1970-01-01,12,0
1971-01-02,9,-1
1972-01-03,11,-1
1972-01-04,10,-1
1997-01-05,8,-1
1965-01-06,11.5,-1.5
1985-01-07,10.4,-1
1964-01-08,12,-1
1985-01-09,8.6,-2.4
1985-01-10,12,-1.6
1985-01-11,11,-0.4
1985-01-12,9,-1.8
1985-01-13,9.6,-2
1987-01-14,1.2,-3.6
1985-01-15,7.4,-3
1976-01-16,11,0
1976-01-17,12,0
1976-01-18,12,-0.2
2017-01-19,8.4,-1
1992-01-20,9.4,0
1983-01-21,14.2,-0.2
1983-01-22,15.6,-1.2
1992-01-23,9,-0.6
2007-01-24,9,0.5
2017-01-25,12.3,1.3
2011-01-26,11.1,0
2005-01-27,7.5,0.4
2010-01-28,11.2,0.7
2006-01-29,8,0.1
2006-01-30,11.1,1
2006-01-31,11.8,0.5
2003-02-01,9.9,-0.5
2011-02-02,12,0.7
2012-02-03,8.8,-0.5
1994-02-04,4.8,0
1994-02-05,8.6,-1.4
2005-02-06,9.6,0.8
2005-02-07,12.4,0.1
2018-02-08,10.3,-0.3
1964-02-09,14.2,0
2012-02-10,14.2,-0.6
1965-02-11,12.5,0
1978-02-12,9.4,-1.6
1983-02-13,8.2,-0.6
1983-02-14,7.8,-1.6
1983-02-15,10,0.2
1983-02-16,12,-1.2
1979-02-17,9,-1
1987-02-18,9,2
1987-02-19,8.8,0.2
1965-02-20,8.5,-0.5
2004-02-21,12,-1.7
1996-02-22,10.6,-1.2
2006-02-23,11,-0.3
2005-02-24,10.8,0
2005-02-25,10.2,-0.8
2001-02-26,12,0
2005-02-27,11.5,0.9
2005-02-28,8,0.5
2004-02-29,11.1,3.6
2005-03-01,11,-2
2005-03-02,10.4,-2
2005-03-03,10,0.6
2005-03-04,9.4,-1
2005-03-05,11.5,1.2
1965-03-06,12,1
1995-03-07,11,1.2
1965-03-08,13.6,0.9
1964-03-09,12,0
2010-03-10,14,0.4
1984-03-11,17,1
1970-03-12,13,2
1984-03-13,8.8,0.4
1970-03-14,11,1
1981-03-15,16.4,2.6
1996-03-16,13.4,1.6
1984-03-17,14,1.8
1973-03-18,19,2.5
1989-03-19,17,2
1975-03-20,13.4,2
2018-03-21,14.9,2.4
2018-03-22,12.8,0.7
2017-03-23,8.6,1.1
2017-03-24,11.9,2.8
1976-03-25,15.4,3
1986-03-26,11.4,3.4
2014-03-27,12.4,2.5
2004-03-28,14.6,2.5
2000-03-29,15.2,2.5
2000-03-30,17.1,2
1992-03-31,12,3
2016-04-01,14,3.2
1989-04-02,11,4
1987-04-03,8,2.6
1989-04-04,13,2.4
1989-04-05,10,1.6
1968-04-06,16,2
1986-04-07,8.8,1.4
1986-04-08,11.2,1
1986-04-09,13.2,1
1975-04-10,16.4,2.4
1986-04-11,13.4,0.6
1998-04-12,12.5,1.9
1986-04-13,15.6,2
1986-04-14,15,3.6
1999-04-15,10.7,1.5
1994-04-16,13.8,2
1989-04-17,13,3
1986-04-18,11,2
1991-04-19,18,3.6
1995-04-20,12.4,2.4
1990-04-21,12,3
1995-04-22,9,1
1995-04-23,14,2.6
1999-04-24,17.5,3.6
1995-04-25,14.3,4
1989-04-26,14.6,2.4
1981-04-27,10.6,3
2013-04-28,14.2,2.5
1974-04-29,16,4
2001-04-30,13.1,4
1970-05-01,28,0.9
1977-05-02,13,3.8
1967-05-03,16,4
1977-05-04,10,4
1982-05-05,14,2.4
1982-05-06,16.4,1.8
1985-05-07,17.8,5.2
2004-05-08,15.8,4.7
1991-05-09,15.6,7
1982-05-10,18,5.4
2013-05-11,18.3,6.3
1996-05-12,17.4,4.2
1966-05-13,19.3,5.5
1997-05-14,21.3,6.6
2009-05-15,15.7,6.2
1984-05-16,15,6
1972-05-17,17,7
1972-05-18,16,5
2013-05-19,14.5,5.5
2013-05-20,18.2,5.4
1993-05-21,17.6,6.2
1983-05-22,16.2,6
2006-05-23,18.5,6.4
1983-05-24,20.2,6.8
1969-05-25,12,6
2013-05-26,18.3,5.2
2013-05-27,17.2,6
1975-05-28,20,6.4
1973-05-29,22,7
2002-05-30,26.6,7.8
1979-05-31,19.4,7.4
1979-06-01,20.6,7.8
1973-06-02,22.5,8.5
1975-06-03,21,7
1984-06-04,17.6,8.4
1984-06-05,17.4,6
1994-06-06,32,8.2
1986-06-07,24,9.2
1999-06-08,22.8,7.5
1992-06-09,18,8
2000-06-10,18.2,7.2
1977-06-11,19,8
1998-06-12,22.4,8.8
1972-06-13,16,7
1977-06-14,20,8
1977-06-15,20.6,8
1987-06-16,19.4,8.4
1987-06-17,24,7.6
1991-06-18,22.2,8.6
1969-06-19,20,8
2013-06-20,17.5,9.3
1980-06-21,19,10.4
2012-06-22,21.8,9.5
1977-06-23,22,9.8
1972-06-24,21,9.5
1978-06-25,16.4,9.4
1994-06-26,23.4,10.8
1967-06-27,23,9.5
1997-06-28,16,7.2
1997-06-29,18.8,10.4
1972-06-30,21.5,10
2017-07-01,21.1,8.6
1997-07-02,19,10.6
1997-07-03,18.4,9.4
1990-07-04,25,11.4
1997-07-05,23.8,11
1965-07-06,22.8,11
2002-07-07,26.3,10.5
1996-07-08,25,10.2
1980-07-09,21,10.8
1980-07-10,23,11.4
2002-07-11,21.5,9.2
1978-07-12,23,9
2008-07-13,23.9,10.6
1968-07-14,22,7
2001-07-15,21.6,10.8
1975-07-16,23,11
2003-07-17,22.6,10.5
2009-07-18,24.5,10.8
1987-07-19,21.8,11.2
2001-07-20,23.6,10.7
1980-07-21,26,10.8
2007-07-22,19.3,11.3
1996-07-23,30.4,12
1965-07-24,23,11
1986-07-25,27.6,10.6
1965-07-26,26,10.5
1980-07-27,22,10.6
2009-07-28,22.8,11.7
2008-07-29,23.1,11.3
1988-07-30,28,11
1980-07-31,22,11
1978-08-01,22,10
1978-08-02,25,10
1998-08-03,29.2,11.3
1986-08-04,22,11.2
1986-08-05,23,10
1986-08-06,25,10
1978-08-07,22,10
1965-08-08,24,10.5
1978-08-09,28,11
2017-08-10,25.1,11
2002-08-11,25.4,11.8
1986-08-12,24,12
1992-08-13,25,11
2016-08-14,24.1,11.1
1979-08-15,24,10.4
1993-08-16,25.2,10.9
2001-08-17,22.5,12
2007-08-18,22.5,11.2
1981-08-19,22.6,12.2
2006-08-20,25.4,11.6
2000-08-21,21.8,11.4
2004-08-22,22.5,12.3
1977-08-23,22.6,10
2005-08-24,26.8,11.8
1987-08-25,25.6,10.4
1985-08-26,25,10.4
2011-08-27,23.5,10.8
1986-08-28,20.4,10
1986-08-29,21.4,10.4
1988-08-30,22.6,9.8
1988-08-31,23.4,10
1969-09-01,27.5,6
1992-09-02,21,10
1983-09-03,23.6,10.6
1974-09-04,22,10
1965-09-05,19.5,9.5
1965-09-06,22,8
2008-09-07,21.5,10.4
2017-09-08,22.5,10.2
2013-09-09,25.5,9.9
2002-09-10,23,10
1965-09-11,20,8
1965-09-12,21,7
1976-09-13,20,9
1999-09-14,23,8.8
1975-09-15,18.4,9
2017-09-16,18.4,8.6
2017-09-17,18.9,8.7
1968-09-18,20.5,9
1976-09-19,23,9
2000-09-20,18.2,8.6
1981-09-21,22,9.4
1994-09-22,19,9.4
1979-09-23,22,8
1993-09-24,19.3,8.5
1984-09-25,23,8
1993-09-26,18,7.7
1993-09-27,18.1,8.5
1974-09-28,17.4,7
1974-09-29,17,5
1982-09-30,20,7
1973-10-01,20,9
1972-10-02,19,7.5
1974-10-03,19,7
2008-10-04,17.1,7.4
2008-10-05,19.7,7
1974-10-06,19,5
1984-10-07,19,6.8
1974-10-08,20,6.4
1974-10-09,19,6
2002-10-10,17.4,6
2002-10-11,15.4,7.5
1992-10-12,18,5.4
1975-10-13,12.4,5
1972-10-14,20.5,7
1974-10-15,18.4,7
1980-10-16,11,6.4
1980-10-17,13,6.2
1992-10-18,15.4,5
1980-10-19,18,4
1980-10-20,20.6,4
1992-10-21,14.5,5
2003-10-22,13.6,5.7
