year,total,decade,totaldecade
1950,111,1950,1147
1951,55,1950,1147
1952,129,1950,1147
1953,138,1950,1147
1954,118,1950,1147
1955,192,1950,1147
1956,50,1950,1147
1957,106,1950,1147
1958,162,1950,1147
1959,86,1950,1147
1960,132,1960,1609
1961,250,1960,1609
1962,143,1960,1609
1963,56,1960,1609
1964,271,1960,1609
1965,203,1960,1609
1966,161,1960,1609
1967,142,1960,1609
1968,179,1960,1609
1969,72,1960,1609
1970,273,1970,1378
1971,81,1970,1378
1972,32,1970,1378
1973,54,1970,1378
1974,113,1970,1378
1975,119,1970,1378
1976,135,1970,1378
1977,188,1970,1378
1978,221,1970,1378
1979,162,1970,1378
1980,203,1980,2426
1981,378,1980,2426
1982,149,1980,2426
1983,348,1980,2426
1984,106,1980,2426
1985,325,1980,2426
1986,57,1980,2426
1987,397,1980,2426
1988,192,1980,2426
1989,271,1980,2426
1990,281,1990,2538
1991,224,1990,2538
1992,212,1990,2538
1993,92,1990,2538
1994,332,1990,2538
1995,394,1990,2538
1996,161,1990,2538
1997,305,1990,2538
1998,289,1990,2538
1999,248,1990,2538
2000,196,2000,3089
2001,352,2000,3089
2002,258,2000,3089
2003,437,2000,3089
2004,346,2000,3089
2005,308,2000,3089
2006,390,2000,3089
2007,255,2000,3089
2008,183,2000,3089
2009,364,2000,3089
2010,272,2010,4457
2011,455,2010,4457
2012,475,2010,4457
2013,240,2010,4457
2014,451,2010,4457
2015,679,2010,4457
2016,369,2010,4457
2017,739,2010,4457
2018,312,2010,4457
2019,465,2010,4457
2020,544,2020,544
