year,total,decade,totaldecade
1950,100,1950,2751
1951,237,1950,2751
1952,206,1950,2751
1953,223,1950,2751
1954,503,1950,2751
1955,167,1950,2751
1956,626,1950,2751
1957,310,1950,2751
1958,292,1950,2751
1959,87,1950,2751
1960,173,1960,2577
1961,131,1960,2577
1962,310,1960,2577
1963,377,1960,2577
1964,171,1960,2577
1965,441,1960,2577
1966,259,1960,2577
1967,285,1960,2577
1968,166,1960,2577
1969,264,1960,2577
1970,386,1970,4208
1971,506,1970,4208
1972,487,1970,4208
1973,453,1970,4208
1974,523,1970,4208
1975,423,1970,4208
1976,264,1970,4208
1977,544,1970,4208
1978,401,1970,4208
1979,221,1970,4208
1980,476,1980,2855
1981,281,1980,2855
1982,123,1980,2855
1983,268,1980,2855
1984,393,1980,2855
1985,485,1980,2855
1986,303,1980,2855
1987,202,1980,2855
1988,236,1980,2855
1989,88,1980,2855
1990,142,1990,1940
1991,353,1990,1940
1992,236,1990,1940
1993,340,1990,1940
1994,202,1990,1940
1995,170,1990,1940
1996,174,1990,1940
1997,113,1990,1940
1998,109,1990,1940
1999,101,1990,1940
2000,108,2000,1739
2001,244,2000,1739
2002,103,2000,1739
2003,77,2000,1739
2004,133,2000,1739
2005,390,2000,1739
2006,110,2000,1739
2007,284,2000,1739
2008,159,2000,1739
2009,131,2000,1739
2010,202,2010,1132
2011,66,2010,1132
2012,162,2010,1132
2013,183,2010,1132
2014,44,2010,1132
2015,73,2010,1132
2016,65,2010,1132
2017,152,2010,1132
2018,118,2010,1132
2019,67,2010,1132
