year,total
1950,160
1951,132
1952,126
1953,211
1954,172
1955,171
1956,111
1957,269
1958,200
1959,194
1960,202
1961,248
1962,367
1963,135
1964,277
1965,296
1966,306
1967,261
1968,282
1969,249
1970,251
1971,112
1972,65
1973,207
1974,266
1975,266
1976,200
1977,61
1978,263
1979,210
1980,296
1981,276
1982,212
1983,169
1984,157
1985,261
1986,245
1987,370
1988,348
1989,388
1990,422
1991,609
1992,351
1993,354
1994,523
1995,360
1996,203
1997,151
1998,430
1999,320
2000,342
2001,400
2002,223
2003,712
2004,421
2005,482
2006,530
2007,291
2008,327
2009,541
2010,497
2011,407
2012,573
2013,403
2014,242
2015,654
2016,659
2017,692
2018,437
2019,328
