year,total
1950,507
1951,427
1952,635
1953,694
1954,363
1955,704
1956,370
1957,662
1958,578
1959,596
1960,559
1961,761
1962,857
1963,500
1964,919
1965,571
1966,667
1967,592
1968,626
1969,615
1970,717
1971,707
1972,394
1973,755
1974,634
1975,738
1976,755
1977,237
1978,593
1979,757
1980,737
1981,685
1982,822
1983,757
1984,490
1985,841
1986,737
1987,1063
1988,803
1989,1219
1990,1250
1991,1107
1992,878
1993,791
1994,1165
1995,1071
1996,826
1997,952
1998,1234
1999,1147
2000,930
2001,1162
2002,882
2003,1578
2004,1312
2005,1243
2006,1392
2007,961
2008,1074
2009,1375
2010,1335
2011,1302
2012,1339
2013,1141
2014,1160
2015,1459
2016,1402
2017,1528
2018,1390
2019,1379
2020,1390
