year,total
1951,74
1952,74
1953,76
1954,54
1955,91
1956,53
1957,83
1958,62
1959,84
1960,89
1961,101
1962,104
1963,72
1964,103
1965,69
1966,89
1967,79
1968,75
1969,76
1970,94
1971,87
1972,67
1973,89
1974,82
1975,70
1976,77
1977,39
1978,75
1979,97
1980,0
1981,53
1982,63
1983,58
1984,49
1985,88
1986,73
1987,83
1988,74
1989,93
1990,98
1991,92
1992,79
1993,70
1994,78
1995,65
1996,79
1997,88
1998,92
1999,92
2000,96
2001,96
2002,85
2003,94
2004,92
2005,88
2006,72
2007,91
2008,93
2009,94
2010,92
2011,96
2012,91
2013,102
2014,92
2015,86
2016,100
2017,97
2018,95
