year,total
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,1
1962,0
1963,0
1964,2
1965,0
1966,0
1967,0
1968,0
1969,1
1970,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,1
1985,1
1986,0
1987,3
1988,0
1989,0
1990,2
1991,0
1992,1
1993,2
1994,0
1995,0
1996,1
1997,0
1998,1
1999,0
2000,2
2001,0
2002,0
2003,2
2004,0
2005,1
2006,1
2007,0
2008,0
2009,1
2010,0
2011,0
2012,0
2013,0
2014,1
2015,1
2016,0
2017,2
2018,0
2019,2
2020,0
2021,0
