year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,4
1974,1
1975,6
1976,2
1977,0
1978,1
1979,2
1980,1
1981,1
1982,10
1983,10
1984,1
1985,2
1986,4
1987,9
1988,2
1989,10
1990,5
1991,6
1992,8
1993,4
1994,9
1995,6
1996,4
1997,2
1998,3
1999,7
2000,2
2001,5
2002,1
2003,10
2004,5
2005,6
2006,7
2007,0
2008,2
2009,0
2010,13
2011,3
2012,7
2013,4
2014,0
2015,12
2016,3
2017,17
2018,10
2019,12
2020,3
2021,5
