year,total
1950,0
1951,66
1952,89
1953,77
1954,31
1955,99
1956,68
1957,68
1958,52
1959,0
1960,0
1961,110
1962,83
1963,69
1964,102
1965,68
1966,89
1967,80
1968,80
1969,88
1970,93
1971,82
1972,66
1973,86
1974,81
1975,89
1976,102
1977,51
1978,76
1979,68
1980,93
1981,94
1982,88
1983,118
1984,89
1985,119
1986,79
1987,121
1988,94
1989,127
1990,125
1991,91
1992,93
1993,74
1994,104
1995,153
1996,134
1997,156
1998,143
1999,135
2000,113
2001,142
2002,116
2003,117
2004,130
2005,126
2006,114
2007,77
2008,97
2009,145
2010,128
2011,137
2012,145
2013,129
2014,131
2015,130
2016,136
2017,138
2018,104
2019,129
2020,145
2021,1
