fecha,minima
1951-07-10,20
1951-07-11,20.2
1951-07-12,20.4
1951-07-15,20
1951-07-16,20.5
1951-07-17,20.2
1951-07-21,20
1951-07-22,20
1951-07-23,21
1951-07-24,21
1951-07-25,20.4
1951-07-26,20.3
1951-07-27,20
1951-07-28,20.4
1951-07-29,20.6
1951-07-30,21.6
1951-07-31,20
1951-08-01,20.5
1951-08-02,21.2
1951-08-03,20.2
1951-08-04,20.2
1951-08-05,20
1951-08-06,20.3
1951-08-07,20.8
1951-08-09,20.4
1951-08-10,20.8
1951-08-11,21
1951-08-12,20.6
1951-08-13,21
1951-08-14,20
1951-08-15,20.8
1951-08-17,20
1951-08-18,20
1951-08-20,20.8
1951-08-21,21
1951-08-22,22.7
1951-08-23,20.6
1951-08-24,21.5
1951-08-25,20
1951-08-26,20.4
1951-08-27,20
1951-08-28,20.8
1951-08-29,21
1951-08-30,20.8
1951-08-31,21
1951-09-01,21.3
1951-09-02,21.4
1951-09-03,22
1951-09-04,21.8
1951-09-05,22.5
1951-09-06,20
1951-09-08,20
1951-09-10,20.2
1951-09-14,20.8
1951-09-15,20.6
1951-09-16,20.5
1951-09-17,22
1951-09-18,21.6
1951-09-19,21
1951-09-20,20.4
1951-09-26,20.6
1951-09-27,21.4
1951-09-28,20.5
1951-09-29,20.4
1951-09-30,21
1951-10-15,20.2
1952-06-08,23.6
1952-06-09,21.4
1952-06-26,20
1952-06-28,20
1952-07-02,20
1952-07-03,20.4
1952-07-04,20
1952-07-08,20
1952-07-10,21
1952-07-11,23.8
1952-07-12,23.6
1952-07-13,25.2
1952-07-15,23
1952-07-16,21.2
1952-07-17,20.5
1952-07-18,20
1952-07-19,21
1952-07-20,20.4
1952-07-21,20.6
1952-07-22,20.5
1952-07-23,21
1952-07-24,20
1952-07-25,20.4
1952-07-30,20.2
1952-07-31,20
1952-08-01,20.3
1952-08-02,20.7
1952-08-03,20.6
1952-08-04,20
1952-08-05,20
1952-08-06,20.3
1952-08-07,21
1952-08-08,21.5
1952-08-09,20.6
1952-08-10,24
1952-08-11,20.6
1952-08-12,20.6
1952-08-13,20.6
1952-08-14,22
1952-08-15,21.6
1952-08-16,21.2
1952-08-17,21
1952-08-18,22.4
1952-08-19,21
1952-08-20,21
1952-08-21,20.5
1952-08-22,20
1952-08-25,21.6
1952-08-26,22.4
1952-08-27,21
1952-08-28,20.8
1952-08-29,20.5
1952-08-30,21.4
1952-08-31,20.6
1952-09-01,20.2
1952-09-02,21.2
1952-09-03,21
1952-09-04,21.6
1952-09-05,22.6
1952-09-06,20
1952-09-07,20.6
1952-09-08,20.2
1952-09-09,21.2
1952-09-10,22.4
1952-09-11,22
1952-09-12,20.6
1952-09-14,20.8
1952-09-15,20
1952-09-21,20.3
1952-09-23,20.5
1952-09-24,21
1952-09-25,20.2
1952-09-26,20.4
1952-09-27,20
1952-10-06,20
1952-10-07,21.2
1952-10-08,22.6
1952-10-09,21.4
1952-10-10,23
1952-10-11,23.8
1952-10-12,22.4
1952-10-13,22.2
1952-10-14,21.3
1952-10-15,20
1952-10-22,20.2
1952-10-27,20.2
1952-10-28,20.4
1952-10-30,20.1
1952-11-01,20
1953-05-29,21.4
1953-05-30,24.4
1953-06-26,20
1953-07-06,20.2
1953-07-09,20
1953-07-15,20
1953-07-16,20.8
1953-07-17,20
1953-07-18,20.6
1953-07-19,21.5
1953-07-20,22.5
1953-07-21,25.8
1953-07-22,22.8
1953-07-23,21.6
1953-07-24,20.4
1953-07-25,20.2
1953-07-26,21.2
1953-07-27,21.7
1953-07-28,22.8
1953-07-29,20.4
1953-07-30,21.2
1953-07-31,20.4
1953-08-01,20.5
1953-08-02,20.4
1953-08-03,21
1953-08-04,20.7
1953-08-05,20
1953-08-07,20.4
1953-08-08,20.7
1953-08-09,20.6
1953-08-10,21
1953-08-11,20.6
1953-08-12,20.3
1953-08-13,20.8
1953-08-14,21
1953-08-15,20.5
1953-08-16,20.8
1953-08-17,20.6
1953-08-18,20.4
1953-08-19,20
1953-08-20,23.4
1953-08-21,23.4
1953-08-22,21
1953-08-23,20.4
1953-08-24,20.3
1953-08-25,21
1953-08-26,21
1953-08-27,22.8
1953-08-28,22.4
1953-08-29,20.8
1953-08-30,21.2
1953-08-31,21
1953-09-01,21.4
1953-09-02,22
1953-09-03,24
1953-09-04,20.8
1953-09-05,21
1953-09-06,21
1953-09-07,23
1953-09-08,21.4
1953-09-09,22.8
1953-09-10,22.8
1953-09-11,22
1953-09-12,20.4
1953-09-13,20.8
1953-09-14,20.3
1953-09-15,20.6
1953-09-16,20.2
1953-09-19,21.2
1953-09-20,22
1953-09-21,21.4
1953-09-22,21.6
1953-09-23,21.4
1953-09-24,20.2
1953-09-30,20
1953-10-08,20
1953-10-11,20
1954-07-03,20
1954-07-14,21
1954-07-15,27.5
1954-07-25,21
1954-07-26,26.5
1954-08-11,20.4
1954-08-14,20
1954-08-16,20
1954-08-17,20
1954-08-20,20.4
1954-08-21,20
1954-08-22,21.4
