fecha,minima
1959-07-09,20.2
1960-06-20,20.0
1965-08-05,21.0
1965-08-06,20.6
1966-07-13,20.2
1966-09-11,21.2
1968-06-30,21.0
1969-08-07,21.8
1969-08-08,20.2
1970-07-28,20.4
1970-09-07,20.0
1970-09-23,22.2
1974-08-16,21.6
1975-07-31,23.2
1979-07-09,20.0
1980-08-21,20.0
1981-07-29,21.0
1981-07-30,23.0
1981-07-31,20.0
1982-07-05,23.2
1982-07-06,20.8
1982-07-07,22.0
1985-07-25,22.2
1995-07-20,20.1
2001-07-31,20.4
2001-08-25,20.1
2003-06-12,20.0
2003-08-03,20.2
2003-08-04,20.9
2003-08-08,20.3
2003-08-09,20.2
2003-08-12,21.1
2003-08-13,21.4
2007-08-05,20.1
2012-06-27,20.9
2012-08-20,20.5
2020-08-07,20.1
2022-07-16,22.0
2022-07-17,20.7
2022-07-18,20.9
2023-08-23,21.9
2023-08-24,21.1
2024-07-29,20.6
2024-08-11,21.6
