year,temp
1950,14.5
1951,15
1952,15.4
1953,15.3
1954,14.6
1955,15.8
1956,14.9
1957,15.4
1958,15.6
1959,14.7
1960,15.6
1961,16.4
1962,15.8
1963,15.5
1964,15.8
1965,15.1
1966,16
1967,15.3
1968,15.4
1969,16
1970,15.7
1971,15.1
1972,14.7
1973,15.7
1974,15.5
1975,16
1976,15.7
1977,15.7
1978,16.6
1979,16.1
1980,16.8
1981,16.6
1982,16.2
1983,17
1984,16.4
1985,16.7
1986,15.9
1987,17.3
1988,16.8
1989,17
1990,17.3
1991,16.5
1992,16.5
1993,15.9
1994,16.9
1995,17.7
1996,17.1
1997,17.5
1998,17.6
1999,16.8
2000,17
2001,17.4
2002,16.9
2003,17.1
2004,17.3
2005,16.8
2006,15.7
2007,15
2008,15.9
2009,17.3
2010,17.8
2011,16.9
2012,17.4
2013,17.3
2014,16.4
2015,16.9
2016,16.9
2017,17.9
2018,
